,yref_Tm0_close,Tp1_pred,Tp2_pred,Tp3_pred,Tp4_pred,Tp5_pred,Tp6_pred,Tp7_pred,Tp8_pred,Tp9_pred,Tp10_pred,Tp11_pred,Tp12_pred,Tp13_pred
2019-01-01,19.15544319152832,19.00147088419302,18.982344738121242,18.982261432949134,18.981299147736618,18.980500011148422,18.978782868742464,18.974902034359424,18.971149607712384,18.953447550318266,18.953019514984753,18.955212322231695,18.95576447167108,18.955422527523435
2019-01-02,18.95274353027344,18.731416643625707,18.74632955949978,18.746315319802545,18.749360588760943,18.74925317981438,18.74883660463251,18.753378839216168,18.75591504352167,18.81148458481357,18.81102718678585,18.81194831689082,18.81221249310115,18.810112580769147
2019-01-03,18.70326042175293,18.98808912530155,18.996380292429606,18.99634352443977,19.0001300351067,19.0012839334436,19.00478689329315,19.008827291295535,19.013407954337435,19.044709970463558,19.043793663534956,19.043176863576484,19.044244257620058,19.043239030800468
2019-01-04,19.00731468200684,19.24211980549814,19.27332813265232,19.273275443439715,19.278464987368388,19.280492852570678,19.291695403141972,19.307985968447404,19.32854447853011,19.310343272166328,19.309596542058372,19.30849479770913,19.308687369067968,19.310806742170136
2019-01-07,19.451704025268555,19.488003987116954,19.48800291763054,19.487966682413514,19.487880527384867,19.48833070775147,19.48705016087802,19.487868805592743,19.48776744245321,19.48956427414631,19.489334072371058,19.491729139112643,19.491397468171364,19.491185146190666
2019-01-08,19.62322235107422,19.825307056925418,19.825399837965136,19.825190554284887,19.820022747854164,19.820590208339492,19.820853123002458,19.82077709523775,19.82159223490899,19.818266416350767,19.81719593419107,19.81786839126351,19.816407952231124,19.815823448373298
2019-01-09,19.919479370117188,19.9709269973469,19.96823870002802,19.967991754163457,19.96824938238145,19.968005416353826,19.967212555211724,19.966599515231128,19.9664436347362,19.979794101506954,19.979671708842062,19.980600113876392,19.97918449630758,19.97769386243133
2019-01-10,20.1143856048584,20.219938014561805,20.204541581715272,20.204439751404088,20.20580153438108,20.20627756353346,20.2101154890944,20.21029421353223,20.210145002652734,20.22394101015402,20.223138270821856,20.222963946501693,20.222196944896808,20.222568561094306
2019-01-11,20.34048080444336,20.137071007960316,20.130875373923914,20.13080827980295,20.13223370107112,20.132591905584977,20.136454639670276,20.137797097207695,20.138156428958666,20.140438715563306,20.138949699679856,20.1348814547202,20.1360876746294,20.13695525380562
2019-01-14,20.270313262939453,20.46517952765074,20.464314094695414,20.464142341357135,20.46753169378566,20.46797424856805,20.473285856499814,20.47307524499279,20.47317641768594,20.463919649622333,20.462924254528133,20.458355118063956,20.459928465893178,20.460855579449216
