,columns,r2,rmse,mape
0,Tp1_pred,0.9962479037038788,0.2155512482319744,0.007182306901165296
1,Tp2_pred,0.9962551430713151,0.21534320345060423,0.007176333257138968
2,Tp3_pred,0.9962554743659308,0.21533367790355423,0.007175502458265988
3,Tp4_pred,0.9963218208627246,0.21341748249009254,0.007079930118263986
4,Tp5_pred,0.9963292494354851,0.21320186104774272,0.007069452166052186
5,Tp6_pred,0.9963908479668652,0.21140543221529948,0.006980520955193557
6,Tp7_pred,0.9964372751278611,0.21004129974836003,0.00693291533571248
7,Tp8_pred,0.9964313514538767,0.21021584303664786,0.006941048753096155
8,Tp9_pred,0.9964558351732509,0.2094934793832083,0.006915852011751634
9,Tp10_pred,0.9964337401173965,0.21014547760800154,0.006950190631493169
10,Tp11_pred,0.9963320636466713,0.21312011889533763,0.007088198344523553
11,Tp12_pred,0.9963704642687737,0.21200157740376296,0.007035494250718176
12,Tp13_pred,0.9963999502482154,0.21113868167514954,0.006999287051240259
