,y_Tp1_PriceChg_c0,y_Tp1_PriceChg_c1,y_Tp1_PriceChg_c2,y_Tp1_PriceChg_c3,y_Tp1_PriceChg_c4,y_Tp1_PriceChg_c5,y_Tp1_PriceChg_c6,pc_pred
0,0.011182,-0.088944,0.696115,0.35744,0.026391,0.027733,-0.029917,-0.009702992896712634
1,-0.009215,-0.025389,0.544819,0.299941,0.092655,0.060462,0.036727,0.0012186631830322478
2,-0.015049,-0.065617,0.425762,0.600119,0.154899,-0.007038,-0.093076,-0.006984848782173579
3,-0.082801,0.036722,-0.081365,0.150456,0.871331,0.144426,-0.038769,0.035739935167367995
4,0.026354,0.021054,0.307547,0.613617,0.014889,0.000985,0.015554,-0.005838512481023537
5,-0.042773,0.01273,0.064673,0.10292,0.091405,0.759358,0.011687,0.050347454240720055
6,-0.008049,-0.019355,0.070714,0.409152,0.486676,0.067233,-0.006371,0.018180504289438553
7,-0.031212,-0.06666,0.14208,0.419536,0.581875,0.005086,-0.050705,0.015918628197022073
8,-0.019892,0.068901,-0.053827,0.249146,0.834069,-0.036194,-0.042202,0.01695842791931387
9,-0.065563,0.07926,0.047181,0.190185,0.593961,0.183983,-0.029008,0.02529103203660488
10,0.063888,0.002764,0.88769,0.19884,-0.13516,0.003104,-0.021125,-0.027801214247321394
11,0.022386,-0.122508,0.068288,-0.05475,0.105854,0.772748,0.207983,0.07060564574689776
12,0.103703,0.010773,0.621227,0.284436,0.06973,-0.062939,-0.026929,-0.024364425324971663
13,-0.084279,0.084125,0.95067,0.091609,-0.154978,0.087761,0.025091,-0.013762305747802746
14,0.052876,0.002363,0.534353,0.440658,0.002326,0.014128,-0.046704,-0.017010160200708387
15,0.021906,-0.023763,0.064311,0.152614,0.732237,0.041585,0.01111,0.02248906290007799
16,0.042623,-0.006123,0.242045,0.599424,0.161843,-0.003994,-0.035818,-0.005177117840596914
17,0.120331,0.218279,0.78825,-0.111375,0.062627,-0.046117,-0.031995,-0.040260314110468806
18,-0.031545,-0.002208,0.098592,-0.001838,0.544672,0.370538,0.021789,0.03965363529624808
19,0.037287,0.058706,0.145673,0.487753,0.307531,0.014577,-0.051528,-0.002678736678776451
20,0.043635,0.090208,0.074005,0.28365,0.549455,0.055484,-0.096437,0.0013158479172037368
21,0.096819,0.021391,0.05033,0.213993,0.475873,0.186178,-0.044585,0.01150808785552725
22,0.04459,-0.010752,0.316117,0.645104,0.024021,0.043891,-0.062972,-0.009866575386584553
23,-0.023713,-0.037432,0.373554,0.46595,0.178819,0.087631,-0.04481,0.003545170344483297
24,0.067695,0.146244,0.668113,0.158283,-0.075386,-0.018135,0.053186,-0.024080299919697287
25,0.119851,0.162786,0.601607,0.173474,-0.039353,0.015713,-0.034078,-0.03222943685412484
26,-0.036167,0.010841,0.39637,0.467703,0.106533,0.105083,-0.050363,8.903934714235649e-05
27,0.034481,-0.006016,0.245392,0.611302,0.09507,0.012284,0.007487,-0.0016324614091902852
28,0.574874,0.184821,0.103689,-0.025008,-0.006146,0.039993,0.127778,-0.04119947912711634
29,0.082102,0.098255,0.518955,0.352431,0.048885,-0.009373,-0.091256,-0.028107556845334985
30,0.029344,0.084178,0.419269,0.162602,0.276064,-0.001941,0.030484,-0.004279020065866097
31,-0.067481,-0.045981,0.130571,0.543757,0.476362,-0.017339,-0.019889,0.01661274806025027
32,0.034399,0.022426,0.176737,0.183369,0.574206,0.026302,-0.01744,0.009145807026423926
33,0.030688,-0.009174,0.042836,0.551626,0.392729,-0.012447,0.003743,0.00921710940863562
34,-0.06823,-0.114111,0.123596,0.052159,0.911651,0.100629,-0.005694,0.03944097240612414
35,-0.002904,0.01597,0.265018,0.565073,0.232258,-0.044236,-0.031179,-0.0034645606546573784
36,0.08941,0.059267,0.215729,0.440884,0.203595,0.074563,-0.083448,-0.010319042616879173
37,0.017759,0.036723,0.023534,0.350665,0.609332,0.0404,-0.078412,0.00956028227488662
38,-0.054227,0.086959,0.064939,0.550269,0.346608,0.000718,0.004734,0.009817728445822564
39,0.020145,0.006882,0.505674,0.457397,-0.072239,0.084499,-0.002358,-0.00808617038234448
40,0.284787,0.285304,0.556577,0.178694,-0.172366,-0.023024,-0.109972,-0.06274574470906295
41,-0.003421,-0.022875,0.304313,0.616189,0.07714,0.016635,0.012019,0.0010667783518249537
