,cols,scores,in_mask_freq,frequency,weighted_scores
2,x_Tm1_PRoc1,0.7366894771780004,3815,192,0.0038369243603020853
3,x_Tm2_PriceChg,0.7343716758953278,3789,199,0.00369030992912225
0,x_Tm1_PriceChg,0.5758363368611504,3753,184,0.0031295453090279916
34,x_Tm12_VolChg,0.3005803710046181,3791,217,0.0013851630000212816
6,x_Tm3_PriceChg,0.269888987318986,3800,206,0.0013101407151407086
24,x_Tm9_PriceChg,0.16188559433806968,3794,187,0.0008656983654442229
28,x_Tm10_VolChg,0.11192037100132673,3830,208,0.0005380787067371477
12,x_Tm5_PriceChg,0.10699823915238299,3802,199,0.0005376795937305677
5,x_Tm2_PRoc1,0.0795758240311934,3774,185,0.00043013958935780215
31,x_Tm11_VolChg,0.08380574369552479,3760,201,0.000416943998485198
8,x_Tm3_PRoc1,0.07208102980444227,3708,184,0.0003917447271980558
1,x_Tm1_VolChg,0.07383711844253725,3747,189,0.00039067258435204896
4,x_Tm2_VolChg,0.08088734949684474,3789,209,0.00038702081098968775
21,x_Tm8_PriceChg,0.06589613947696817,3748,175,0.0003765493684398181
29,x_Tm10_PRoc1,0.07070286823045172,3753,190,0.00037212035910764063
15,x_Tm6_PriceChg,0.07193115981935064,3708,196,0.00036699571336403387
14,x_Tm5_PRoc1,0.056274094507668314,3704,166,0.0003390005693233031
18,x_Tm7_PriceChg,0.059629730750141684,3758,177,0.0003368911341815914
30,x_Tm11_PriceChg,0.05715410282838274,3792,194,0.0002946087774658904
37,x_Tm13_VolChg,0.05360107030541183,3846,190,0.0002821108963442728
19,x_Tm7_VolChg,0.05141055600091619,3776,205,0.0002507832000044692
7,x_Tm3_VolChg,0.03963790166372544,3824,187,0.00021196738857607187
35,x_Tm12_PRoc1,0.029019750622619425,3775,181,0.0001603301139371239
11,x_Tm4_PRoc1,0.007955856824948402,3744,209,3.806630059783924e-05
32,x_Tm11_PRoc1,0.005018625350664574,3816,172,2.917805436432892e-05
17,x_Tm6_PRoc1,0.004777371644288231,3745,171,2.7937845873030593e-05
20,x_Tm7_PRoc1,0.005554631999536893,3817,199,2.7912723615763284e-05
38,x_Tm13_PRoc1,-0.013151577944381602,3885,190,-6.921883128621895e-05
9,x_Tm4_PriceChg,-0.023639106434050643,3745,217,-0.0001089359743504638
25,x_Tm9_VolChg,-0.023521452508035612,3808,214,-0.00010991332947680192
36,x_Tm13_PriceChg,-0.026659501223492508,3708,202,-0.00013197772882917084
27,x_Tm10_PriceChg,-0.02729166866772198,3785,197,-0.0001385363891762537
33,x_Tm12_PriceChg,-0.03783413788208209,3881,182,-0.00020787987847297853
26,x_Tm9_PRoc1,-0.04416974848832554,3796,204,-0.00021651837494277227
16,x_Tm6_VolChg,-0.08509626283510907,3860,199,-0.00042761941123170387
13,x_Tm5_VolChg,-0.09754938018789984,3764,202,-0.00048291772370247444
10,x_Tm4_VolChg,-0.21911936671626653,3710,194,-0.0011294812717333326
22,x_Tm8_VolChg,-0.23634743296100785,3744,199,-0.0011876755425176274
23,x_Tm8_PRoc1,-0.233435902252574,3848,189,-0.0012351105939289629
