,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,0.7681463664464593,3758,223,0.0034446025401186514
3,x_Tm2_PriceChg,0.6930155973471767,3767,210,0.003300074273081794
36,x_Tm13_PriceChg,0.12853028269981623,3719,193,0.0006659600139886852
1,x_Tm1_VolChg,0.11997465184849576,3819,191,0.0006281395384737998
15,x_Tm6_PriceChg,0.12629578291490515,3757,203,0.0006221467138665278
16,x_Tm6_VolChg,0.09038405900815265,3760,190,0.0004757055737271192
11,x_Tm4_PRoc1,0.07278373525097283,3738,178,0.00040889738905040916
32,x_Tm11_PRoc1,0.09152105869140642,3878,224,0.0004085761548723501
13,x_Tm5_VolChg,0.06297536261326779,3815,171,0.0003682769743465953
25,x_Tm9_VolChg,0.05023142772002732,3757,165,0.0003044328952728928
7,x_Tm3_VolChg,0.05431130403331104,3806,197,0.00027569189864624894
24,x_Tm9_PriceChg,0.05076617862462782,3736,186,0.0002729364442184291
5,x_Tm2_PRoc1,0.04967650857706229,3850,188,0.0002642367477503313
6,x_Tm3_PriceChg,0.04727631748671624,3797,206,0.00022949668682871962
14,x_Tm5_PRoc1,0.04478912477095494,3739,204,0.00021955453319095559
12,x_Tm5_PriceChg,0.040010405736573454,3784,185,0.00021627246344093758
2,x_Tm1_PRoc1,0.038789919483778426,3802,190,0.00020415747096725486
37,x_Tm13_VolChg,0.02446968480512856,3832,222,0.00011022380542850703
26,x_Tm9_PRoc1,0.020347834001678076,3830,193,0.00010542919171853926
35,x_Tm12_PRoc1,0.014144010512351125,3752,175,8.0822917213435e-05
21,x_Tm8_PriceChg,0.012942008384097247,3749,207,6.252177963332003e-05
17,x_Tm6_PRoc1,0.009906248043665175,3855,190,5.2138147598237765e-05
22,x_Tm8_VolChg,0.009449104940354437,3762,192,4.921408823101269e-05
30,x_Tm11_PriceChg,-0.0026392791324007696,3817,184,-1.4343908328265052e-05
8,x_Tm3_PRoc1,-0.003143546284068346,3844,213,-1.4758433258536837e-05
38,x_Tm13_PRoc1,-0.004789256173212332,3857,205,-2.3362225235182106e-05
33,x_Tm12_PriceChg,-0.004824258758985678,3776,175,-2.7567192908489586e-05
29,x_Tm10_PRoc1,-0.007556284837504244,3867,217,-3.482158911292278e-05
34,x_Tm12_VolChg,-0.017971427008906346,3823,180,-9.984126116059082e-05
31,x_Tm11_VolChg,-0.020876120570756843,3718,189,-0.00011045566439553886
18,x_Tm7_PriceChg,-0.021665860845045175,3769,188,-0.00011524394066513392
23,x_Tm8_PRoc1,-0.03181061610438154,3798,178,-0.00017871132642910975
10,x_Tm4_VolChg,-0.04311275663037336,3786,195,-0.0002210910596429403
27,x_Tm10_PriceChg,-0.042358008526911524,3801,186,-0.00022773122863930926
9,x_Tm4_PriceChg,-0.05186013998266666,3774,186,-0.00027881795689605734
19,x_Tm7_VolChg,-0.09516636956995116,3752,199,-0.00047822296266307115
20,x_Tm7_PRoc1,-0.100964703166181,3815,193,-0.0005231331770268445
28,x_Tm10_VolChg,-0.12110246971533808,3815,202,-0.0005995171768086044
4,x_Tm2_VolChg,-0.14602201031704043,3810,188,-0.0007767128208353214
