,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,1.2180171385874843,3806,205,0.0059415470174999235
3,x_Tm2_PriceChg,0.5722939491402097,3827,202,0.0028331383620802462
6,x_Tm3_PriceChg,0.42768465818135604,3823,199,0.002149169136589729
13,x_Tm5_VolChg,0.2253891937601234,3725,201,0.001121339272438425
8,x_Tm3_PRoc1,0.18967557295582685,3854,197,0.0009628201672884612
27,x_Tm10_PriceChg,0.15373904900520075,3717,168,0.0009151133869357188
25,x_Tm9_VolChg,0.1698641810475699,3752,188,0.0009035328779126059
15,x_Tm6_PriceChg,0.1760274047354442,3834,210,0.0008382257368354486
10,x_Tm4_VolChg,0.16367282525803953,3849,203,0.0008062700751627563
9,x_Tm4_PriceChg,0.1320273504562162,3799,197,0.0006701895962244477
7,x_Tm3_VolChg,0.11826054706941885,3774,181,0.0006533731882288334
35,x_Tm12_PRoc1,0.11861601286453943,3818,185,0.0006411676371056186
24,x_Tm9_PriceChg,0.10752947232244371,3745,185,0.0005812403909321282
30,x_Tm11_PriceChg,0.09260211919380638,3762,167,0.0005545037077473436
23,x_Tm8_PRoc1,0.10424133014456707,3878,202,0.0005160461888344905
29,x_Tm10_PRoc1,0.10270712889763839,3800,202,0.0005084511331566257
21,x_Tm8_PriceChg,0.0911370907251769,3796,193,0.0004722129053117974
38,x_Tm13_PRoc1,0.07187182109940961,3838,199,0.000361164930147787
20,x_Tm7_PRoc1,0.05698855972218265,3858,207,0.0002753070517979838
32,x_Tm11_PRoc1,0.057665299130843214,3868,216,0.0002669689774576075
19,x_Tm7_VolChg,0.03229309720273802,3810,212,0.00015232593020159444
36,x_Tm13_PriceChg,0.022540537778425147,3823,196,0.00011500274376747524
2,x_Tm1_PRoc1,0.01866034676859252,3732,197,9.472257242940366e-05
34,x_Tm12_VolChg,0.012075248938907863,3713,189,6.389020602596753e-05
5,x_Tm2_PRoc1,0.012602363706130403,3758,206,6.117652284529322e-05
11,x_Tm4_PRoc1,-6.931567953401532e-05,3821,192,-3.610191642396631e-07
18,x_Tm7_PriceChg,-0.0013633627824620304,3797,157,-8.683839378739047e-06
17,x_Tm6_PRoc1,-0.00872563060177287,3730,199,-4.384738995865763e-05
14,x_Tm5_PRoc1,-0.015213615707114915,3843,214,-7.109166218277998e-05
33,x_Tm12_PriceChg,-0.01558899667148832,3768,196,-7.953569730351184e-05
16,x_Tm6_VolChg,-0.05250654548488205,3729,185,-0.0002838191647831462
31,x_Tm11_VolChg,-0.05387893864691436,3872,186,-0.00028967171315545355
12,x_Tm5_PriceChg,-0.05432979089873999,3801,167,-0.0003253280892140119
37,x_Tm13_VolChg,-0.06517171704654105,3789,194,-0.0003359366858069126
26,x_Tm9_PRoc1,-0.11387780829514635,3831,207,-0.000550134339590079
28,x_Tm10_VolChg,-0.12615049590439886,3818,183,-0.000689346972155185
1,x_Tm1_VolChg,-0.1420510954700137,3793,198,-0.0007174297751010794
22,x_Tm8_VolChg,-0.1527070787517224,3707,169,-0.0009035921819628544
4,x_Tm2_VolChg,-0.280339702577158,3819,207,-0.001354298080082889
