,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,0.6369491132076297,3721,181,0.0035190558740753023
3,x_Tm2_PriceChg,0.5499025553598739,3703,182,0.0030214426118674387
6,x_Tm3_PriceChg,0.2921372876394977,3799,198,0.0014754408466641298
25,x_Tm9_VolChg,0.17822130356064286,3765,169,0.0010545639263943366
7,x_Tm3_VolChg,0.18898936743786005,3720,194,0.0009741719971023714
12,x_Tm5_PriceChg,0.1554740121988524,3690,177,0.0008783842497110306
1,x_Tm1_VolChg,0.16048785780537278,3785,207,0.0007753036608955207
27,x_Tm10_PriceChg,0.14336211142350136,3820,217,0.0006606548913525408
24,x_Tm9_PriceChg,0.10157660693312875,3832,209,0.00048601247336425244
15,x_Tm6_PriceChg,0.08429619879903134,3804,191,0.0004413413549687505
23,x_Tm8_PRoc1,0.06505213504977922,3789,206,0.0003157870633484428
21,x_Tm8_PriceChg,0.060611083574017934,3805,200,0.00030305541787008965
9,x_Tm4_PriceChg,0.04714570459425217,3761,171,0.00027570587482018814
35,x_Tm12_PRoc1,0.033865844981222505,3786,176,0.00019241957375694605
20,x_Tm7_PRoc1,0.034640557959065066,3836,213,0.00016263172750734774
26,x_Tm9_PRoc1,0.022242908518194403,3771,184,0.00012088537238149132
32,x_Tm11_PRoc1,0.023128034909252356,3763,192,0.00012045851515235603
5,x_Tm2_PRoc1,0.018503754392492747,3900,185,0.00010002029401347431
30,x_Tm11_PriceChg,0.003541250925582578,3804,203,1.7444585840308266e-05
38,x_Tm13_PRoc1,-0.0014754413984201264,3809,188,-7.848092544787907e-06
29,x_Tm10_PRoc1,-0.0016200711061043855,3771,184,-8.804734272306443e-06
18,x_Tm7_PriceChg,-0.006304559423691956,3807,208,-3.0310381844672864e-05
37,x_Tm13_VolChg,-0.010395844221176617,3855,186,-5.589163559772374e-05
36,x_Tm13_PriceChg,-0.014022719210432731,3868,216,-6.491999634459599e-05
11,x_Tm4_PRoc1,-0.014401585624244097,3789,193,-7.46196146333891e-05
14,x_Tm5_PRoc1,-0.028033598236061337,3781,199,-0.00014087235294503185
17,x_Tm6_PRoc1,-0.051104379071271334,3811,207,-0.00024688105831532046
33,x_Tm12_PriceChg,-0.0511072903965531,3752,194,-0.0002634396412193459
10,x_Tm4_VolChg,-0.055660517911099223,3820,211,-0.0002637939237492854
34,x_Tm12_VolChg,-0.0610001227306796,3756,205,-0.000297561574295998
19,x_Tm7_VolChg,-0.08911760528462476,3808,203,-0.0004390029816976589
16,x_Tm6_VolChg,-0.10922373906759758,3770,211,-0.0005176480524530691
31,x_Tm11_VolChg,-0.11764099821508164,3805,179,-0.0006572122805311824
28,x_Tm10_VolChg,-0.16223208087170374,3750,190,-0.0008538530572194934
4,x_Tm2_VolChg,-0.18282775130859505,3788,198,-0.0009233724813565407
13,x_Tm5_VolChg,-0.20429034556253867,3810,193,-0.0010584991998058998
8,x_Tm3_PRoc1,-0.24776394636282906,3798,188,-0.0013178933317171757
22,x_Tm8_VolChg,-0.29293902186302484,3855,176,-0.0016644262605853685
2,x_Tm1_PRoc1,-0.3723161621031248,3861,177,-0.002103481141825564
