,columns,r2,rmse,mape
0,Tp1_pred,0.9810927922386512,0.03851315572951278,0.008714191599796887
1,Tp2_pred,0.9810585716098876,0.03854799293591768,0.008709965341679055
2,Tp3_pred,0.9808315577649006,0.0387783046053092,0.008819897373113509
3,Tp4_pred,0.9811834646906192,0.03842069683547386,0.008683125406451228
4,Tp5_pred,0.9810161763128687,0.03859110848504474,0.008706829658590542
5,Tp6_pred,0.9813183499561458,0.038282740865981345,0.008626699773166942
6,Tp7_pred,0.9813698091847031,0.038229978963608455,0.00857319601139996
7,Tp8_pred,0.9814772169414131,0.03811961692392075,0.00854811741740137
8,Tp9_pred,0.9819999423458445,0.0375778869529169,0.008294270699353075
9,Tp10_pred,0.982320001156603,0.03724230252623388,0.008322497017286776
10,Tp11_pred,0.9822228764566765,0.03734445732293123,0.008227330777356412
11,Tp12_pred,0.9821132636163848,0.03745941240640476,0.008282327641807039
12,Tp13_pred,0.9825450289502223,0.03700453693461863,0.00813799660744123
