,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9586352942856086,1.4627601860499093,0.047573920145443024
1,y_Tp2_PriceChg,0.9553483074370267,1.5007295934842517,0.0490342349867983
2,y_Tp3_PriceChg,0.9542881475045945,1.5145247977845098,0.05132812686677221
3,y_Tp4_PriceChg,0.9507719815075871,1.506467204191433,0.05173206528759003
4,y_Tp5_PriceChg,0.9539603195132469,1.5044568183569043,0.05047077205227556
5,y_Tp6_PriceChg,0.9538798767298484,1.4783407083354323,0.05090270476767623
6,y_Tp7_PriceChg,0.949816829093211,1.5679121766374864,0.054249727493301016
7,y_Tp8_PriceChg,0.9516761536492911,1.5965218863165571,0.05481411011055481
8,y_Tp9_PriceChg,0.9505770212199418,1.609808391732281,0.054976509136227925
9,y_Tp10_PriceChg,0.9536517370427297,1.599900760840888,0.05447679233980978
10,y_Tp11_PriceChg,0.9463054877216164,1.636398905778573,0.05492966154720531
11,y_Tp12_PriceChg,0.9440951259781517,1.7305252892805478,0.05905737592413779
12,y_Tp13_PriceChg,0.941085643294691,1.7064686354068235,0.05801451692686567
