Feature,Frequency,Avg Feedback
t-8 Vol,3,0.011882993904140932
t-1 Price,3,0.010939572315079934
t-4 ROC,3,0.006508472211088401
t-12 Vol,3,0.005889895674653433
t-6 ROC,2,0.0129700139597944
t-2 Price,2,0.012217507463883151
t-3 Vol,2,0.008330879208044
t-2 ROC,2,0.0064470652794976005
t-1 Vol,2,0.0042535463601396
t-13 Vol,2,0.00240763449774805
t-10 Vol,2,0.0022357175303743997
t-9 Vol,2,0.00218793120446655
t-8 Price,1,0.011121160635845
t-11 Vol,1,0.0094477142592637
t-2 Vol,1,0.0078200782688129
t-5 ROC,1,0.0066422783733835
t-3 ROC,1,0.0048096596875625
t-10 ROC,1,0.0045068968578077
t-6 Price,1,0.0042487265286264
t-8 ROC,1,0.0029173251086647
t-11 Price,1,0.0023913221736941
t-7 ROC,1,0.0016460109618611
t-7 Vol,1,0.0014067421332342
