,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9884776441631098,0.5072333586615567,0.018197515531587834
1,y_Tp2_PriceChg,0.9845542440627982,0.5872849048504887,0.021089923304550513
2,y_Tp3_PriceChg,0.9782245485107014,0.6972558078892284,0.024214757433888724
3,y_Tp4_PriceChg,0.9707703309056348,0.807809868066398,0.02868261824003629
4,y_Tp5_PriceChg,0.9572246529884075,0.9772512421809307,0.03418499517517135
5,y_Tp6_PriceChg,0.9563915281454307,0.9867722411878013,0.03545995537115871
6,y_Tp7_PriceChg,0.9467162721931583,1.0907885479912995,0.03909693304370249
7,y_Tp8_PriceChg,0.9444913281706444,1.1134276488305253,0.03960663122832901
8,y_Tp9_PriceChg,0.9501661549847945,1.0550940862334859,0.03681094318526875
9,y_Tp10_PriceChg,0.9425796087156401,1.1326650471026996,0.040113842857855735
10,y_Tp11_PriceChg,0.9385812755805961,1.1715363497205726,0.04137142672311345
11,y_Tp12_PriceChg,0.9339298205925329,1.2151088894879707,0.04227649126173563
12,y_Tp13_PriceChg,0.9231620585853056,1.310408762405662,0.04656077372327535
