,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9867006343698204,0.54494496179604,0.01944308938844099
1,y_Tp2_PriceChg,0.9836698032549857,0.603865163006966,0.021533235740549217
2,y_Tp3_PriceChg,0.9774569322493448,0.7094390298302665,0.02488200264440444
3,y_Tp4_PriceChg,0.9705910320037308,0.8102837153713586,0.029105977669463788
4,y_Tp5_PriceChg,0.9561929933977323,0.9889657779146996,0.035152970415336465
5,y_Tp6_PriceChg,0.9520226181843275,1.035022463617584,0.03675355210892413
6,y_Tp7_PriceChg,0.9470011296153561,1.0878689695848474,0.038449566104980376
7,y_Tp8_PriceChg,0.9483614795486519,1.0739114964650003,0.038188971620923606
8,y_Tp9_PriceChg,0.9481563954423793,1.0761593857873504,0.03765849822162621
9,y_Tp10_PriceChg,0.9380176733891078,1.1767992288215272,0.04145374516150982
10,y_Tp11_PriceChg,0.9357462716831507,1.1982696257572423,0.042456261595942214
11,y_Tp12_PriceChg,0.9297235039502935,1.2531917222888702,0.04424392973103879
12,y_Tp13_PriceChg,0.922501677811523,1.316027883172443,0.04642929906613992
