,columns,r2,rmse,mape
0,Tp1_pred,0.9990039550128104,0.14911610109890078,0.004899509532061245
1,Tp2_pred,0.9984322929200881,0.1870757618534729,0.0063596578464762115
2,Tp3_pred,0.9956047211953952,0.31324076583337906,0.010139499233200344
3,Tp4_pred,0.9959276718341182,0.3015132810842186,0.00990502167840393
4,Tp5_pred,0.9961280224360607,0.2940028082869972,0.009766162087511403
5,Tp6_pred,0.9961192171926988,0.29433691355098285,0.009774091525013427
6,Tp7_pred,0.994593851959707,0.34739937258333997,0.011482747502666953
7,Tp8_pred,0.9946988686301558,0.3440086366855828,0.0113149867044719
8,Tp9_pred,0.994984173932828,0.3346233916394479,0.011078520846095972
9,Tp10_pred,0.9949643341089301,0.33528453071251824,0.011087523675206743
10,Tp11_pred,0.994072152503025,0.3637756067967948,0.011855460013837655
11,Tp12_pred,0.9946146842456817,0.34672938459468616,0.011443184717660976
12,Tp13_pred,0.9946147852598286,0.3467261327206224,0.01144404364723416
