,date,daily_return
0,2019-01-02,0.0
1,2019-01-03,-0.017355936334883696
2,2019-01-04,0.04026079298623501
3,2019-01-07,0.02055902024282548
4,2019-01-08,0.005317407024829085
5,2019-01-09,0.0060811681895709055
6,2019-01-10,0.015233128217572538
7,2019-01-11,0.0013183959175892305
8,2019-01-14,-0.004551790193853639
9,2019-01-15,0.010106639531954467
10,2019-01-16,0.010319405538840672
11,2019-01-17,0.003671438915613494
12,2019-01-18,0.012533822205069354
13,2019-01-22,-0.01905589133205152
14,2019-01-23,-0.00368382183922473
15,2019-01-24,-0.0038801207283024513
16,2019-01-25,0.01754338104957852
17,2019-01-28,-0.012453669481310738
18,2019-01-29,-0.006694685055253708
19,2019-01-30,0.01624645084159136
20,2019-01-31,0.02817927606267469
21,2019-02-01,0.003813164792398259
22,2019-02-04,0.007371484709220473
23,2019-02-05,0.010547745421773775
24,2019-02-06,-0.007805985364904809
25,2019-02-07,-0.01635387811547892
26,2019-02-08,-0.00038031966993354045
27,2019-02-11,0.003088285124356664
28,2019-02-12,0.012820520599052245
29,2019-02-13,0.008641878367409416
30,2019-02-14,-0.005128381644092714
31,2019-02-15,0.012712770304328436
32,2019-02-19,0.0012967362824632734
33,2019-02-20,0.003176531638889383
34,2019-02-21,-0.00956658069331607
35,2019-02-22,0.017327904846460712
36,2019-02-25,0.010876152560656731
37,2019-02-26,0.010022515700270407
38,2019-02-27,0.008240664205644042
39,2019-02-28,-0.013711423323284904
40,2019-03-01,0.008335040882566059
41,2019-03-04,-0.005921328419377276
42,2019-03-05,-0.012273957202576277
43,2019-03-06,-0.02289848994078253
44,2019-03-07,0.002459998244441708
45,2019-03-08,-0.0005874543910750554
46,2019-03-11,0.019458669932019387
47,2019-03-12,0.002196770848388054
48,2019-03-13,0.013027493183210791
49,2019-03-14,0.009725769489860845
50,2019-03-15,-0.00755904603601689
51,2019-03-18,0.008328612866177146
52,2019-03-19,-0.005262852191454231
53,2019-03-20,-0.004129930783032149
54,2019-03-21,0.010355769202747441
55,2019-03-22,-0.02169865063564413
56,2019-03-25,-0.0002648456845812568
57,2019-03-26,0.017431045295358296
58,2019-03-27,-0.011644388894544274
59,2019-03-28,0.0021033367614306446
60,2019-03-29,0.0075683736566568025
61,2019-04-01,0.017201976557609945
62,2019-04-02,0.004222191410914727
63,2019-04-03,0.0005869111008245382
64,2019-04-04,-0.006015799508916476
65,2019-04-05,0.003836352031160652
66,2019-04-08,-0.006962715184340867
67,2019-04-09,-0.010996495048113984
68,2019-04-10,0.0024045316311182004
69,2019-04-11,-0.002660403444918289
70,2019-04-12,0.0009156398337515433
71,2019-04-15,-0.0026203407403674953
72,2019-04-16,0.0026536563376005676
73,2019-04-17,-0.009743034821150286
74,2019-04-18,0.003976279371070687
75,2019-04-22,0.006095063200716065
76,2019-04-23,0.014531810866271483
77,2019-04-24,-0.008925652838175405
78,2019-04-25,0.0003079429069245906
79,2019-04-26,0.0010455457504510374
80,2019-04-29,0.00304232297431848
81,2019-04-30,0.00816938683641954
82,2019-05-01,-0.011476837450447386
83,2019-05-02,-0.0033295798667869717
84,2019-05-03,0.015046697467847777
85,2019-05-06,-0.003613937545806029
86,2019-05-07,-0.02035907582367744
87,2019-05-08,-0.0011370502034798442
88,2019-05-09,-0.004054339926915839
89,2019-05-10,0.005467192757904645
90,2019-05-13,-0.02980685025477978
91,2019-05-14,0.01461407021030376
92,2019-05-15,0.004596553082983911
93,2019-05-16,0.009765529513194725
94,2019-05-17,-0.009657640467479243
95,2019-05-20,-0.008733763539902822
96,2019-05-21,0.01064883512617399
97,2019-05-22,0.00045082805120857526
98,2019-05-23,-0.0207056448611451
99,2019-05-24,0.010001029689695998
100,2019-05-28,-0.006225046854947151
101,2019-05-29,-0.013541462245514668
102,2019-05-30,0.003222508642026549
103,2019-05-31,-0.016207961355740593
104,2019-06-03,-0.006951313247989933
105,2019-06-04,0.0365184512760577
106,2019-06-05,0.004496637894400902
107,2019-06-06,0.0017432512238366054
108,2019-06-07,0.011629134058661424
109,2019-06-10,0.0068338427436330455
110,2019-06-11,-0.0032716319030364235
111,2019-06-12,-0.0036480219615226527
112,2019-06-13,0.0011835702095938613
113,2019-06-14,-0.004445496562346394
114,2019-06-17,0.002282111953688352
115,2019-06-18,0.017680811509621936
116,2019-06-19,0.01195518507895184
117,2019-06-20,0.017945502172010998
118,2019-06-21,-0.0026796431364360432
119,2019-06-24,-0.008590437765178177
120,2019-06-25,-0.014440845092593232
121,2019-06-26,0.0003707227982690637
122,2019-06-27,0.006707405431354251
123,2019-06-28,0.012183139304578483
124,2019-07-01,0.006462058915668771
125,2019-07-02,-0.0029744822274453487
126,2019-07-03,0.010243955023633254
127,2019-07-05,-0.0067106016890113585
128,2019-07-08,-0.008384234274399114
129,2019-07-09,0.004115561535091406
130,2019-07-10,0.004176922109378612
131,2019-07-11,0.0018754106602313515
132,2019-07-12,0.009744911539050615
133,2019-07-15,-0.0037322637950748055
134,2019-07-16,-0.003669434442825167
135,2019-07-17,-0.007036591346688088
136,2019-07-18,0.005006812374799851
137,2019-07-19,-0.007660624077745314
138,2019-07-22,0.0054178531927748805
139,2019-07-23,0.011376152773248731
140,2019-07-24,0.0011106015601621006
141,2019-07-25,-0.011507187029722216
142,2019-07-26,0.004251143499914965
143,2019-07-29,-0.006926466816862513
144,2019-07-30,0.0018204027046076108
145,2019-07-31,-0.010604212072762943
146,2019-08-01,-0.003596461618511992
147,2019-08-02,-0.011577126138355738
148,2019-08-05,-0.03251057782059659
149,2019-08-06,0.011907230643722734
