Date,y_Tp13_PriceChg_c0,y_Tp13_PriceChg_c1,y_Tp13_PriceChg_c2,y_Tp13_PriceChg_c3,y_Tp13_PriceChg_c4,y_Tp13_PriceChg_c5,y_Tp13_PriceChg_c6,pc_pred
1991-08-13,0.0,0.178685,0.384312,0.368419,0.061048,0.004434,0.000287,-0.010145210693868395
1991-08-14,0.0,0.17812,0.367303,0.391265,0.055626,0.004314,3.8e-05,-0.008585224770356274
1991-08-15,0.0,0.117212,0.328151,0.462663,0.081904,0.00669,0.001664,0.023870681826433815
1991-08-16,0.000109,0.17977,0.404744,0.367514,0.043158,0.002625,0.0,-0.018202163136987082
1991-08-19,0.0,0.181231,0.378608,0.364339,0.066862,0.005212,0.000496,-0.008470162314742057
1991-08-20,0.0,0.164254,0.403918,0.373895,0.051134,0.003998,0.000284,-0.010940197623667332
1991-08-21,0.000615,0.22167,0.387951,0.334486,0.049222,0.003185,0.0,-0.027428303779201576
1991-08-22,0.000281,0.176893,0.352004,0.422934,0.043071,0.00269,0.0,-0.008974586613235882
1991-08-23,0.000933,0.236562,0.419468,0.311628,0.028796,0.001354,0.0,-0.04191678477852191
1991-08-26,0.001038,0.236366,0.401498,0.329605,0.028699,0.001496,0.0,-0.03901161889538537
1991-08-27,0.0,0.114434,0.295527,0.505231,0.073061,0.007499,0.001875,0.02854698628795997
1991-08-28,0.0,0.130352,0.338219,0.47861,0.048845,0.002516,0.000385,0.009233475822138189
1991-08-29,0.0,0.107279,0.319022,0.458024,0.101523,0.009521,0.002695,0.03403818276430524
1991-08-30,0.0,0.068829,0.244391,0.459973,0.16467,0.042014,0.01609,0.09093945282732287
1991-09-03,0.0,0.037654,0.146841,0.552874,0.210744,0.034968,0.015737,0.12279518206396733
1991-09-04,0.0,0.0368,0.198621,0.562758,0.16432,0.026868,0.00969,0.09871577109691822
1991-09-05,0.0,0.019608,0.131758,0.645726,0.184656,0.012835,0.005164,0.11075867316642864
1991-09-06,0.0,0.0285,0.14174,0.587591,0.21414,0.018599,0.008857,0.11674508950035231
1991-09-09,0.0,0.018818,0.109337,0.58657,0.251067,0.023551,0.010335,0.13515963824635896
1991-09-10,0.0,0.019699,0.141977,0.636748,0.179753,0.015146,0.006337,0.10970002405472708
1991-09-11,0.0,0.029362,0.167678,0.577214,0.183628,0.027366,0.013812,0.11252856072497938
1991-09-12,0.0,0.017928,0.109491,0.605581,0.240404,0.018416,0.007929,0.12985039748524838
1991-09-13,0.0,0.01411,0.074383,0.557099,0.326453,0.019043,0.008762,0.15468408966868746
1991-09-16,0.0,0.034304,0.142611,0.480103,0.249,0.05911,0.033096,0.1518976979784041
1991-09-17,0.0,0.019164,0.09484,0.539227,0.307347,0.028444,0.010734,0.15080109943999312
1991-09-18,0.0,0.012365,0.090218,0.61531,0.259696,0.015964,0.006314,0.13662390556607995
1991-09-19,0.0,0.020488,0.137333,0.629377,0.184116,0.019628,0.008626,0.11416947783403665
1991-09-20,0.0,0.027383,0.115454,0.561385,0.244615,0.032946,0.017298,0.1379910369891838
1991-09-23,0.0,0.0215,0.049941,0.3411,0.468229,0.07503,0.043459,0.22718619053113653
1991-09-24,0.0,0.009759,0.023143,0.22333,0.556009,0.129679,0.057637,0.28231101155162314
1991-09-25,0.0,0.01191,0.02204,0.205265,0.594364,0.105438,0.060539,0.281977361041318
1991-09-26,0.0,0.008715,0.011842,0.116901,0.390297,0.33944,0.132337,0.3768050488423925
1991-09-27,0.0,0.007499,0.008213,0.127068,0.367162,0.326315,0.163289,0.38679128991419337
1991-09-30,0.0,0.011214,0.014052,0.108137,0.224389,0.422766,0.218178,0.42614732166222247
1991-10-01,0.0,0.004658,0.002804,0.042406,0.184721,0.599298,0.165754,0.45814257735432085
1991-10-02,0.0,0.004793,0.003743,0.057374,0.184986,0.553595,0.195081,0.45818883142682376
1991-10-03,0.0,0.004131,0.005458,0.104674,0.402202,0.385176,0.098198,0.37857812867419344
1991-10-04,0.0,0.00701,0.010773,0.231634,0.508975,0.170161,0.071054,0.29934267420390615
1991-10-07,0.0,0.006319,0.007342,0.123449,0.483235,0.29568,0.083715,0.3507682440583535
1991-10-08,0.0,0.01559,0.057494,0.38824,0.466629,0.051725,0.020087,0.20446320615091107
1991-10-09,0.0,0.026493,0.127305,0.588425,0.228091,0.019424,0.009748,0.12333750644145318
1991-10-10,0.0,0.090879,0.365237,0.404197,0.106003,0.021373,0.008325,0.04039447788636807
1991-10-11,0.0,0.073466,0.265336,0.524335,0.11769,0.013654,0.004191,0.05889193970446415
1991-10-14,0.0,0.10303,0.348722,0.417958,0.106377,0.01567,0.004703,0.035007298005010214
