Date,y_Tp5_PriceChg_c0,y_Tp5_PriceChg_c1,y_Tp5_PriceChg_c2,y_Tp5_PriceChg_c3,y_Tp5_PriceChg_c4,y_Tp5_PriceChg_c5,y_Tp5_PriceChg_c6,pc_pred
1991-10-28,0.0,0.001831,0.02806,0.778008,0.188534,0.001641,0.00148,0.0723207917531645
1991-10-29,0.0,0.002823,0.050402,0.782285,0.159777,0.001754,0.002347,0.06206896048012742
1991-10-30,0.0,0.004937,0.053385,0.714265,0.21953,0.002856,0.00401,0.07604361027236983
1991-10-31,0.0,0.002024,0.037843,0.821882,0.136355,0.000753,0.000826,0.05779014038045391
1991-11-01,0.0,0.002946,0.056228,0.82426,0.114903,0.000361,0.000737,0.049089988743129906
1991-11-04,0.0,0.002977,0.069802,0.791098,0.132717,0.001498,0.001317,0.0516211653421584
1991-11-05,0.0,0.003795,0.282278,0.683641,0.029531,3.1e-05,0.000326,-0.011106734455267444
1991-11-06,0.0,0.00206,0.101304,0.837125,0.058767,0.000158,0.000327,0.028231640932657138
1991-11-07,0.0,0.003885,0.116464,0.802045,0.075755,0.000384,0.000738,0.0291761776665038
1991-11-08,0.0,0.00218,0.075939,0.852699,0.068385,0.000153,0.000315,0.03486591320552476
1991-11-11,0.0,0.001739,0.015169,0.66519,0.309979,0.004437,0.003181,0.10472222709079983
1991-11-12,0.0,0.002496,0.142121,0.813439,0.04148,4e-06,0.000188,0.016755767382271212
1991-11-13,0.000465,0.007449,0.308418,0.651194,0.031659,0.0,0.000395,-0.01665319606465815
1991-11-14,5.4e-05,0.002794,0.171679,0.790034,0.035013,0.0,0.000179,0.00991610100528686
1991-11-15,9e-05,0.003916,0.213164,0.748378,0.033887,0.0,0.000225,0.00195582256291911
1991-11-18,0.007529,0.047789,0.484306,0.441751,0.015169,0.0,0.002218,-0.06720514844651453
1991-11-19,0.032672,0.156656,0.507069,0.294179,0.004839,0.0,0.003203,-0.12128582324430331
1991-11-20,0.017821,0.11994,0.598666,0.25451,0.005292,0.0,0.002644,-0.11836367319365375
1991-11-21,0.028265,0.199192,0.537658,0.22912,0.002471,0.0,0.002489,-0.1396858184131179
1991-11-22,0.093902,0.303042,0.353524,0.235006,0.003436,0.0,0.008312,-0.1694120058393521
1991-11-25,0.097813,0.347222,0.363097,0.176358,0.002597,0.0,0.009839,-0.1868884944533234
1991-11-26,0.097613,0.322958,0.350112,0.216114,0.003805,0.0,0.006427,-0.17836193398643035
1991-11-27,0.051887,0.298253,0.439935,0.201029,0.002634,0.0,0.004661,-0.1653113459175752
1991-11-29,0.068987,0.331041,0.400903,0.18961,0.00268,0.0,0.00527,-0.1771568349279912
1991-12-02,0.061724,0.266654,0.502399,0.162254,0.001734,0.0,0.003871,-0.17132617720440374
1991-12-03,0.021435,0.166706,0.583873,0.223479,0.001956,0.0,0.001939,-0.13423436921120235
1991-12-04,0.025369,0.188214,0.552001,0.228493,0.002776,0.0,0.002255,-0.1372606910159875
1991-12-05,0.006865,0.041645,0.50867,0.432301,0.007888,0.0,0.001482,-0.07129137564077612
1991-12-06,0.0,0.002214,0.103915,0.810024,0.081238,0.001019,0.001185,0.033781954075305785
1991-12-09,0.0,0.002501,0.014531,0.555881,0.401192,0.015109,0.009924,0.1344337347081002
1991-12-10,0.0,0.002119,0.009847,0.466727,0.491075,0.020013,0.0097,0.15794244872684732
1991-12-11,0.0,0.002619,0.007693,0.331022,0.582117,0.048457,0.027178,0.20267044803481354
1991-12-12,0.0,0.002205,0.006609,0.319785,0.557701,0.078308,0.034129,0.2149143566069836
1991-12-13,0.0,0.001272,0.006674,0.439633,0.522244,0.019883,0.009825,0.16593731612879717
1991-12-16,0.0,0.000643,0.002905,0.408288,0.564447,0.016175,0.007341,0.1732466893265196
1991-12-17,0.0,0.001412,0.00611,0.417269,0.538845,0.02515,0.010823,0.1727299331867841
1991-12-18,0.0,0.002075,0.012911,0.540014,0.426981,0.011078,0.006549,0.13683178457892142
1991-12-19,0.0,0.002277,0.00676,0.376583,0.556595,0.038538,0.018425,0.1871274529095714
1991-12-20,0.0,0.002088,0.00471,0.274233,0.587285,0.094746,0.035906,0.2303740974028285
1991-12-23,0.0,0.001202,0.004856,0.411971,0.541643,0.028386,0.01146,0.17548079667802827
1991-12-24,0.0,0.001606,0.049967,0.823563,0.122912,0.000893,0.00081,0.052763547936106735
1991-12-26,0.0,0.00244,0.110085,0.820785,0.065874,0.000173,0.000343,0.02819228614761392
1991-12-27,8.4e-05,0.005114,0.339527,0.628433,0.025997,0.0,0.000386,-0.02249848500576625
1991-12-30,0.0,0.003744,0.027983,0.545706,0.390757,0.019437,0.010605,0.13155197054006154
1991-12-31,0.0,0.002869,0.039422,0.779114,0.173556,0.002122,0.002206,0.06721226699904029
1992-01-02,0.0,0.001717,0.054807,0.841839,0.10019,0.000559,0.000608,0.04639812788745933
1992-01-03,0.0,0.001921,0.031018,0.775094,0.187927,0.001984,0.001699,0.07192300480810515
1992-01-06,0.0,0.003549,0.010335,0.305759,0.596335,0.050424,0.032281,0.20929256236489405
1992-01-07,0.0,0.004297,0.009282,0.313513,0.553329,0.073743,0.043255,0.21662285355236274
1992-01-08,0.0,0.001645,0.006859,0.41578,0.539426,0.024375,0.011343,0.17264582440178097
1992-01-09,0.0,0.000945,0.005017,0.464171,0.505902,0.016528,0.007135,0.1594047097496353
1992-01-10,0.0,0.002695,0.015544,0.540959,0.416213,0.013957,0.009978,0.1371641611865854
1992-01-13,0.0,0.005038,0.023589,0.558855,0.362081,0.029924,0.018213,0.1348213990036932
1992-01-14,0.0,0.001041,0.002572,0.252378,0.624923,0.085121,0.033389,0.23389663117573306
1992-01-15,0.0,0.001739,0.008913,0.610225,0.363387,0.009327,0.005746,0.12181939569786113
1992-01-16,0.0,0.001297,0.005536,0.418622,0.545421,0.019052,0.009742,0.17101802461769788
1992-01-17,0.0,0.002629,0.081178,0.839393,0.075841,0.000175,0.000327,0.035507635470645685
1992-01-20,0.0,0.00169,0.090622,0.847199,0.059773,0.000209,0.00031,0.03048766362421396
1992-01-21,0.000972,0.009638,0.246937,0.698312,0.04272,0.0,0.000734,-0.004009113805791048
1992-01-22,0.000136,0.00496,0.238573,0.718858,0.036697,0.0,0.000314,-0.002212514449346492
1992-01-23,0.001049,0.013211,0.513154,0.458199,0.013173,0.0,0.000816,-0.059024064115650136
1992-01-24,0.004485,0.05001,0.693464,0.246411,0.003825,0.0,0.001253,-0.10667095060310619
1992-01-27,0.007494,0.05468,0.639357,0.291724,0.004625,0.0,0.001543,-0.0997346600705958
1992-01-28,0.000395,0.007704,0.429308,0.546528,0.015016,0.0,0.000517,-0.04182119051431158
1992-01-29,0.001679,0.022258,0.60795,0.359314,0.007864,0.0,0.000623,-0.08044139153181772
1992-01-30,0.01359,0.096957,0.621104,0.259765,0.005351,0.0,0.002156,-0.112952715374896
1992-01-31,0.0204,0.12937,0.589492,0.254077,0.003334,0.0,0.002438,-0.12169353073810306
1992-02-03,0.010538,0.065845,0.612,0.305463,0.003716,0.0,0.001629,-0.10023555960088444
1992-02-04,0.024175,0.143229,0.607042,0.219415,0.002283,0.0,0.002767,-0.13126166260519845
1992-02-05,0.004927,0.039095,0.635746,0.311784,0.006165,0.0,0.001677,-0.0922388571534059
1992-02-06,0.003017,0.034691,0.630676,0.323919,0.006259,0.0,0.00103,-0.08934636371528748
1992-02-07,0.000698,0.010012,0.50933,0.465815,0.013429,0.0,0.000412,-0.05731490517931764
1992-02-10,0.000436,0.008454,0.488973,0.489074,0.012432,0.0,0.000373,-0.05332080646269626
1992-02-11,0.001166,0.014154,0.558447,0.417523,0.007989,0.0,0.000458,-0.06881951211413398
1992-02-12,0.002919,0.034013,0.625929,0.327645,0.008126,0.0,0.000935,-0.08786939218655868
1992-02-13,0.000564,0.009253,0.493253,0.485374,0.010978,0.0,0.000371,-0.05473738303584073
1992-02-14,0.004448,0.050556,0.66208,0.278095,0.003761,0.0,0.000758,-0.1016090314957598
1992-02-18,0.0008,0.010297,0.527209,0.452994,0.008019,0.0,0.00042,-0.06185224696673036
1992-02-19,2.4e-05,0.004014,0.242137,0.719502,0.033376,0.0,0.00043,-0.0031605731354799843
1992-02-20,0.004151,0.029471,0.436927,0.504467,0.02227,0.0,0.001523,-0.04992890673794368
1992-02-21,0.000528,0.009022,0.373067,0.596019,0.019542,0.0,0.000856,-0.031133609587323273
1992-02-24,0.000303,0.006217,0.442035,0.537398,0.013441,0.0,0.000357,-0.04398855282126538
1992-02-25,0.000312,0.006186,0.450761,0.530095,0.012224,0.0,0.000249,-0.04587201783477091
1992-02-26,0.00254,0.023148,0.487931,0.461978,0.020894,0.0,0.00223,-0.05593250283573954
1992-02-27,0.001194,0.012708,0.449904,0.515162,0.019718,0.0,0.000697,-0.046325036039591004
