,ROI,Final Value
U11.SI,199.0624132377865,29906.24132377865
C38U.SI,111.50709722085213,21150.709722085212
Q0F.SI,58.661637837766555,15866.163783776656
S68.SI,99.69209197171968,19969.209197171967
S63.SI,277.55698908658223,37755.698908658225
AJBU.SI,194.7520604762133,29475.20604762133
