Sell_Dates
75
93
115
146
169
218
272
295
329
345
369
405
449
563
675
710
733
795
808
822
835
882
909
935
961
984
1003
1033
1095
1119
1201
1219
1234
1264
1279
1297
1308
1365
1436
1443
1497
1518
1542
1571
1583
1594
1630
1680
1707
1737
1761
1777
1787
1798
1826
1840
1861
1909
1933
1943
1957
2002
2026
2063
2120
2141
2170
2229
2289
2393
2441
2479
2499
