Buy_Dates
63
111
130
142
154
182
209
221
262
285
316
415
545
629
731
763
822
901
905
922
937
1030
1065
1097
1135
1150
1210
1255
1289
1315
1344
1377
1410
1442
1451
1467
1520
1547
1563
1586
1620
1648
1684
1730
1752
1794
1916
1935
1958
1999
2007
2059
2086
2162
2234
2281
2389
2397
2449
2472
2510
