Buy_Dates
59
66
111
127
174
183
204
224
263
292
316
409
447
469
515
544
554
577
613
727
742
759
791
803
827
858
873
899
903
923
960
1024
1049
1117
1154
1199
1222
1262
1282
1300
1326
1338
1351
1383
1414
1457
1485
1517
1544
1578
1594
1629
1642
1700
1742
1784
1801
1823
1844
1907
1958
2004
2044
2088
2165
2193
2197
2214
2229
2293
2320
2376
2418
2465
