,ROI,Final Value
U11.SI,148.7256195819378,24872.56195819378
C38U.SI,51.2533887751639,15125.33887751639
Q0F.SI,37.93026617408843,13793.026617408843
S68.SI,171.11887621060612,27111.88762106061
S63.SI,216.19497392004132,31619.49739200413
AJBU.SI,0.0,10000.0
