Stock,Best Agent,ROI,Final Value
U11.SI,DeepEvolutionStrategy,215.1809242795115,31518.09242795115
C38U.SI,ActorCritic,111.50709722085212,21150.70972208521
Q0F.SI,CuriosityQL,72.78760789675496,17278.760789675496
S68.SI,DeepDeterministicPolicyGradient,171.11887621060612,27111.88762106061
S63.SI,ActorCritic,277.55698908658223,37755.69890865823
AJBU.SI,CuriosityQL,329.7019098529685,42970.19098529685
