,Buy Price,Sell Price,Shares Held,Final Value,ROI (%)
U11.SI,15.482256889343262,38.2599983215332,645.0,24691.643223762512,146.91643223762512
C38U.SI,1.2911721467971802,2.0999999046325684,7744.0,16263.562156677246,62.63562156677246
Q0F.SI,1.5578017234802246,2.0249998569488525,6419.0,12998.944818735123,29.989448187351226
S68.SI,5.536075592041016,13.25,1806.0,23931.347480773926,139.31347480773925
S63.SI,2.364595890045166,6.730000019073486,4229.0,28461.294061660767,184.61294061660766
AJBU.SI,0.6241636276245117,2.190000057220459,16021.0,35086.26543855667,250.8626543855667
