,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9782884461580343,3.198972031015628,0.03649350895727832
1,y_Tp2_PriceChg,0.9842015477178121,2.727850132126849,0.0321348025464665
2,y_Tp3_PriceChg,0.9817046476785377,2.934716464568132,0.03521343465720052
3,y_Tp4_PriceChg,0.9736113045004575,3.52381896810093,0.04263840494754447
4,y_Tp5_PriceChg,0.9613594686461433,4.263176278098038,0.05140321755390651
5,y_Tp6_PriceChg,0.969878299670102,3.763007573245175,0.04564664374914805
6,y_Tp7_PriceChg,0.9655419136665923,4.023562052792519,0.049086139536222324
7,y_Tp8_PriceChg,0.9585137177168865,4.413366391050863,0.053938681791991634
8,y_Tp9_PriceChg,0.9548684408479248,4.6016040766632935,0.05629678662496529
9,y_Tp10_PriceChg,0.9513271377148604,4.776540801540272,0.059195447408475196
10,y_Tp11_PriceChg,0.9475342323766137,4.956971970317555,0.06090133805141335
11,y_Tp12_PriceChg,0.9410084907848181,5.25336660525172,0.06398715556786443
12,y_Tp13_PriceChg,0.9370341558274663,5.424983502192077,0.06653709983814421
