,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9792274083261768,8.553446169944745,0.026185422407607857
1,y_Tp2_PriceChg,0.9784250525478964,8.734638002299363,0.024843916975823405
2,y_Tp3_PriceChg,0.9732185326297424,9.75464426258831,0.02810499765934138
3,y_Tp4_PriceChg,0.9612564953155848,11.760821591803541,0.03565394999838039
4,y_Tp5_PriceChg,0.9562082113310839,12.535099327283195,0.037900448588419636
5,y_Tp6_PriceChg,0.9580103486847177,12.306782345543668,0.03607108792561275
6,y_Tp7_PriceChg,0.9519718881406051,13.198406647884196,0.03822523101888211
7,y_Tp8_PriceChg,0.9476351209868038,13.822955325609172,0.04044935302673721
8,y_Tp9_PriceChg,0.9443587271640728,14.29235199153925,0.04311406080729606
9,y_Tp10_PriceChg,0.9342472186026948,15.586952390240379,0.048108229806531115
10,y_Tp11_PriceChg,0.9354881699297151,15.486120495102574,0.04620909549348123
11,y_Tp12_PriceChg,0.9300236246075589,16.177751276383887,0.04939805660615819
12,y_Tp13_PriceChg,0.9306708727012594,16.153424371509274,0.04845575059416317
