,columns,r2,rmse,mape
0,Tp1_pred,0.9821361465115566,0.04761620865561819,0.0173972445594342
1,Tp2_pred,0.9826818885138885,0.046883227788466084,0.0167574900279284
2,Tp3_pred,0.9827100816997476,0.046845050243868085,0.01663124006549607
3,Tp4_pred,0.983506835113027,0.0457529645097644,0.016348548613609532
4,Tp5_pred,0.9823266767657328,0.04736159816894663,0.016746424216699158
5,Tp6_pred,0.982191638283524,0.04754219430632445,0.016790983463128236
6,Tp7_pred,0.9819979660014717,0.04780001438608285,0.01679991038396228
7,Tp8_pred,0.9816618686626176,0.04824416320217094,0.01706721473915677
8,Tp9_pred,0.9826384841343919,0.04694194273458182,0.016456046549778225
9,Tp10_pred,0.981386592329424,0.048604914467122506,0.01720091595263129
10,Tp11_pred,0.980930888948275,0.04919630241479699,0.01735644542156901
11,Tp12_pred,0.981375773096131,0.04861903846644041,0.017023612200414175
12,Tp13_pred,0.981787371471764,0.04807879267056324,0.016666114999089834
