,columns,r2,rmse,mape
0,Tp1_pred,0.9701985125613646,0.021878982989145673,0.010156403707104557
1,Tp2_pred,0.9703595939827434,0.021819773311499945,0.010125872706153964
2,Tp3_pred,0.9704240661844618,0.02179602980001657,0.010125260714161338
3,Tp4_pred,0.9701205001357861,0.021907600973165568,0.010163973654969282
4,Tp5_pred,0.9701672695365983,0.021890448634023372,0.010147624403370116
5,Tp6_pred,0.9700117941545559,0.021947416317343232,0.010199853510541321
6,Tp7_pred,0.9683496495557862,0.022547449436528297,0.010517737022602922
7,Tp8_pred,0.9701456411078321,0.02189838237357675,0.010086786176902066
8,Tp9_pred,0.9701489388308786,0.02189717288864317,0.01013508015284667
9,Tp10_pred,0.9701270296793659,0.02190520711698062,0.010155509357293405
10,Tp11_pred,0.9703322811200195,0.021829824173243872,0.01012214127638872
11,Tp12_pred,0.9697614585440453,0.022038832278278454,0.010205584214837275
12,Tp13_pred,0.9712232434260994,0.021499535730246048,0.009930969230912145
