Index,yref_Tm0_close,Tp1_pred,Tp2_pred,Tp3_pred,Tp4_pred,Tp5_pred,Tp6_pred,Tp7_pred,Tp8_pred,Tp9_pred,Tp10_pred,Tp11_pred,Tp12_pred,Tp13_pred
2019-01-01,1.3750982284545898,1.3811108248388306,1.3804962642485243,1.3805084849967795,1.3803498458873495,1.3807791234135616,1.377897763010694,1.377791259337508,1.3797085652931755,1.3782251116177304,1.3785783637742082,1.3791822014130641,1.3767576726192394,1.3750845824178186
2019-01-02,1.3750982284545898,1.3635778810949395,1.3631337688039336,1.3635084107178623,1.3640137660298635,1.3641186954323172,1.3619420622471905,1.3588213135042833,1.360502310907538,1.359334724241955,1.358946009456733,1.358899462780839,1.3572409925026183,1.3545468156005842
2019-01-03,1.3443697690963743,1.364071621031403,1.3649116296154562,1.3638192677356387,1.3638354317809003,1.363581484574751,1.3640894658997795,1.360942957153782,1.3662910212641903,1.3653737305940483,1.3652417254297204,1.3649029385164915,1.3640375737036445,1.3615307704949458
2019-01-04,1.3597339391708374,1.3732554844825557,1.3720217024031482,1.3728023874634414,1.3720717444982653,1.3716039401366855,1.3728256152219043,1.3720657297401568,1.3723556919621462,1.3744141975208846,1.3744440367267086,1.3737979036937342,1.3715385483921063,1.369031137581783
2019-01-07,1.3827804327011108,1.3779915574911614,1.380672910948426,1.3798474993892822,1.3795681125409396,1.3795532575030802,1.3805098418536081,1.3757078873770985,1.3841792751066504,1.3836520494305777,1.3828678905796397,1.38430541489009,1.3823679899998007,1.386691772316939
2019-01-08,1.3981447219848633,1.3826202070411249,1.3839601509687807,1.3823133222114294,1.3823824493832633,1.3825905353139936,1.3843521652191357,1.3851042279841994,1.3845041528590558,1.384095418191939,1.3843239246419825,1.3844772307424453,1.3838127541515703,1.384194538243346
2019-01-09,1.3904623985290527,1.4009070076525925,1.4005924396780602,1.400771238321588,1.4006948473139242,1.400502995384748,1.3994263690728177,1.3990246787083034,1.3992022389056804,1.4015676143939593,1.4014039583624813,1.4012026492164535,1.4010028012162825,1.4039874015725498
2019-01-10,1.3981447219848633,1.3985431120865972,1.3994606717568703,1.399212854177429,1.3990353158948194,1.399397724916009,1.3991324817978403,1.4006215593051925,1.4014393254988382,1.4038572519685795,1.4033346446092232,1.4033149234025055,1.4032641914473971,1.4061490777356722
2019-01-11,1.4288729429244995,1.4119573545619761,1.4123909611578533,1.4125877690535642,1.4126361272432517,1.4129384084864216,1.4118162862687198,1.4148445044751985,1.410374230371887,1.4110861792900633,1.4109495192669546,1.4116252528053286,1.4116379164616149,1.410752876774405
2019-01-14,1.421190857887268,1.42995620118855,1.4302076160807622,1.4298976821204339,1.4303029494084873,1.4304215219722407,1.4285044705098717,1.4291817733160066,1.4296915743613472,1.429604224225703,1.429615092391786,1.4300339991681141,1.4295821315218031,1.4305037174658033
