,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,1.3864000685548146,3384,152,0.009121053082597464
6,x_Tm3_PriceChg,0.6256482113618171,3278,188,0.003327916017882006
2,x_Tm1_PRoc1,0.48008820039147077,3309,163,0.0029453263827697593
3,x_Tm2_PriceChg,0.414459442062554,3199,150,0.0027630629470836933
14,x_Tm5_PRoc1,0.35048774760336693,3387,164,0.002137120412215652
13,x_Tm5_VolChg,0.3371030688938965,3399,183,0.0018420932726442433
9,x_Tm4_PriceChg,0.24843785933214782,3296,160,0.001552736620825924
12,x_Tm5_PriceChg,0.2686203256435029,3306,205,0.0013103430519195265
15,x_Tm6_PriceChg,0.2117531529385146,3313,169,0.0012529772363225715
22,x_Tm8_VolChg,0.2122892164224708,3401,183,0.0011600503629643213
31,x_Tm11_VolChg,0.213350005910547,3343,184,0.0011595109016877554
11,x_Tm4_PRoc1,0.17599794628352614,3334,153,0.0011503133744021315
34,x_Tm12_VolChg,0.21806921665496623,3359,193,0.0011298923142744365
4,x_Tm2_VolChg,0.16535982415434908,3249,148,0.0011172961091510073
10,x_Tm4_VolChg,0.18617557902604948,3333,168,0.0011081879703931517
5,x_Tm2_PRoc1,0.18090504593168344,3361,180,0.0010050280329537969
17,x_Tm6_PRoc1,0.13684642788824736,3381,155,0.0008828801799241765
8,x_Tm3_PRoc1,0.12274035488415527,3353,165,0.0007438809386918501
35,x_Tm12_PRoc1,0.1105425399389525,3436,159,0.0006952361002449842
7,x_Tm3_VolChg,0.09981218934000122,3265,162,0.0006161246255555631
29,x_Tm10_PRoc1,0.08237538682761876,3362,172,0.00047892666760243467
30,x_Tm11_PriceChg,0.09481964118398942,3325,198,0.00047888707668681526
32,x_Tm11_PRoc1,0.05960572493673992,3308,180,0.00033114291631522176
25,x_Tm9_VolChg,0.05643216469147565,3253,186,0.0003033987349004067
26,x_Tm9_PRoc1,0.046229230594029835,3346,163,0.00028361491161981497
20,x_Tm7_PRoc1,0.021919241020247483,3280,168,0.00013047167273956835
38,x_Tm13_PRoc1,-0.0055094937525572455,3299,165,-3.339087122761967e-05
36,x_Tm13_PriceChg,-0.0133495277272967,3222,162,-8.240449214380679e-05
27,x_Tm10_PriceChg,-0.03769021043186052,3368,173,-0.00021786248804543654
28,x_Tm10_VolChg,-0.0439773367461629,3334,171,-0.00025717740787229766
24,x_Tm9_PriceChg,-0.05389314598083223,3261,189,-0.00028514892053350385
23,x_Tm8_PRoc1,-0.05971050749501544,3285,152,-0.00039283228615141736
33,x_Tm12_PriceChg,-0.07556316215360569,3365,179,-0.0004221405706905346
21,x_Tm8_PriceChg,-0.08556447611096385,3333,165,-0.00051857258249069
1,x_Tm1_VolChg,-0.11972408165994275,3391,182,-0.00065782462450518
18,x_Tm7_PriceChg,-0.11886063367857005,3302,172,-0.0006910501958056398
19,x_Tm7_VolChg,-0.13581828858704123,3287,157,-0.0008650846406817913
37,x_Tm13_VolChg,-0.19823606396157784,3314,157,-0.0012626500889272474
16,x_Tm6_VolChg,-0.42943903178221277,3273,173,-0.0024823065420937155
