,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,1.3185995834978699,3310,159,0.008293079141496037
6,x_Tm3_PriceChg,0.8775869810945245,3346,170,0.005162276359379556
3,x_Tm2_PriceChg,0.4307718561208905,3317,163,0.002642772123441046
9,x_Tm4_PriceChg,0.3821205589488961,3308,187,0.0020434254489245783
2,x_Tm1_PRoc1,0.3273053127633853,3398,165,0.001983668562202335
32,x_Tm11_PRoc1,0.25791906027282874,3357,164,0.0015726771967855412
15,x_Tm6_PriceChg,0.27058409324499644,3344,195,0.0013876107345897253
23,x_Tm8_PRoc1,0.1616693738209725,3358,167,0.0009680800827603143
1,x_Tm1_VolChg,0.18074259268700452,3353,188,0.0009613967696117261
29,x_Tm10_PRoc1,0.15277471301609483,3339,159,0.0009608472516735524
21,x_Tm8_PriceChg,0.11777193718624633,3403,171,0.0006887247788669376
20,x_Tm7_PRoc1,0.11701775442477444,3387,174,0.0006725158300274393
14,x_Tm5_PRoc1,0.09906442192106085,3337,154,0.0006432754670198757
12,x_Tm5_PriceChg,0.08894174625853955,3327,161,0.0005524332065747798
38,x_Tm13_PRoc1,0.04337221428798978,3318,159,0.0002727812219370426
37,x_Tm13_VolChg,0.04317736450918598,3272,179,0.00024121432686696078
5,x_Tm2_PRoc1,0.023882111337042208,3385,162,0.00014742044035211238
4,x_Tm2_VolChg,0.01856405174490206,3313,156,0.00011900033169809014
27,x_Tm10_PriceChg,0.01842226462586593,3297,167,0.00011031296183153251
17,x_Tm6_PRoc1,0.018128843655962682,3415,188,9.643001944661001e-05
22,x_Tm8_VolChg,0.01605185946572853,3233,178,9.017898576251983e-05
18,x_Tm7_PriceChg,-0.004688791679028239,3311,183,-2.5621812453706228e-05
35,x_Tm12_PRoc1,-0.0072801541812753025,3349,172,-4.2326477798112226e-05
34,x_Tm12_VolChg,-0.01587190160626728,3362,168,-9.447560479921e-05
8,x_Tm3_PRoc1,-0.03177474917032733,3353,166,-0.00019141415162847786
33,x_Tm12_PriceChg,-0.06764503652162417,3294,166,-0.00040750022000978414
31,x_Tm11_VolChg,-0.08640998027390412,3343,177,-0.00048819197894861083
30,x_Tm11_PriceChg,-0.08560714405962942,3325,169,-0.0005065511482818309
16,x_Tm6_VolChg,-0.09411497587003878,3343,175,-0.0005377998621145073
25,x_Tm9_VolChg,-0.09431895278522193,3398,168,-0.0005614223380072733
24,x_Tm9_PriceChg,-0.11456704438155593,3358,163,-0.0007028653029543309
26,x_Tm9_PRoc1,-0.1255469283423373,3319,154,-0.0008152397944307617
28,x_Tm10_VolChg,-0.23712488189164388,3285,201,-0.0011797257805554423
11,x_Tm4_PRoc1,-0.20038266308273694,3336,157,-0.0012763226947945028
7,x_Tm3_VolChg,-0.24563728390039502,3306,166,-0.0014797426740987651
19,x_Tm7_VolChg,-0.22796635876499824,3229,150,-0.0015197757250999882
10,x_Tm4_VolChg,-0.2896948778539631,3381,186,-0.0015574993433008768
13,x_Tm5_VolChg,-0.27601881249910304,3305,175,-0.0015772503571377316
36,x_Tm13_PriceChg,-0.3446781928685335,3326,186,-0.00185310856380932
