,cols,scores,in_mask_freq,frequency,weighted_scores
3,x_Tm2_PriceChg,1.5154243414952833,3400,188,0.008060767773911081
0,x_Tm1_PriceChg,1.109456300503436,3349,184,0.0060296538070838904
35,x_Tm12_PRoc1,0.6375456144051698,3307,160,0.003984660090032311
16,x_Tm6_VolChg,0.6024107884955415,3418,164,0.003673236515216717
4,x_Tm2_VolChg,0.4590550436601679,3287,139,0.00330255427093646
6,x_Tm3_PriceChg,0.4792040860109668,3325,183,0.002618601562901458
11,x_Tm4_PRoc1,0.3385424708361408,3278,167,0.002027200424168508
29,x_Tm10_PRoc1,0.30623870864301217,3275,170,0.0018014041684883068
5,x_Tm2_PRoc1,0.31988542517684304,3320,181,0.001767322791032282
28,x_Tm10_VolChg,0.3172590429571337,3301,188,0.0016875481008358174
31,x_Tm11_VolChg,0.2610914104165892,3248,165,0.0015823721843429648
21,x_Tm8_PriceChg,0.22744630166319604,3389,151,0.001506266898431762
23,x_Tm8_PRoc1,0.20361201468869844,3351,183,0.0011126339600475324
17,x_Tm6_PRoc1,0.18598750507876385,3317,177,0.001050776864851773
14,x_Tm5_PRoc1,0.12063250688813165,3347,134,0.0009002425887174003
15,x_Tm6_PriceChg,0.12603103412748806,3227,179,0.0007040839895390395
32,x_Tm11_PRoc1,0.1181009572266609,3381,168,0.0007029818882539339
22,x_Tm8_VolChg,0.10583993437799033,3301,162,0.0006533329282591996
38,x_Tm13_PRoc1,0.0985334481012385,3381,151,0.0006525393913989305
9,x_Tm4_PriceChg,0.10551969053464114,3263,183,0.0005766103307903888
36,x_Tm13_PriceChg,0.10120085187981162,3311,176,0.0005750048402262024
20,x_Tm7_PRoc1,0.0892645225062969,3315,166,0.0005377380873873307
7,x_Tm3_VolChg,0.09258648588640558,3406,182,0.0005087169554198109
24,x_Tm9_PriceChg,0.08155772355653813,3302,182,0.000448119360200759
27,x_Tm10_PriceChg,0.07178901659117284,3312,161,0.0004458945129886512
8,x_Tm3_PRoc1,0.04801626552837787,3309,185,0.000259547381234475
30,x_Tm11_PriceChg,0.02134078022606151,3243,141,0.0001513530512486632
33,x_Tm12_PriceChg,0.024923591253934604,3337,175,0.00014242052145105487
19,x_Tm7_VolChg,-0.04882456868740458,3300,203,-0.0002405151166867221
18,x_Tm7_PriceChg,-0.04203977253064165,3365,171,-0.0002458466229862085
10,x_Tm4_VolChg,-0.07943649324492649,3350,197,-0.0004032309301772918
1,x_Tm1_VolChg,-0.07419609622135075,3366,180,-0.0004122005345630597
12,x_Tm5_PriceChg,-0.08775430219669081,3278,151,-0.0005811543191833828
37,x_Tm13_VolChg,-0.15072363248385418,3343,177,-0.0008515459462364643
13,x_Tm5_VolChg,-0.19985329797730322,3361,172,-0.0011619377789378095
26,x_Tm9_PRoc1,-0.30776535947854644,3352,167,-0.001842906344182913
2,x_Tm1_PRoc1,-0.3468475077764073,3387,147,-0.0023595068556218186
25,x_Tm9_VolChg,-0.5568148865365865,3364,172,-0.003237295851956898
34,x_Tm12_VolChg,-0.5603076924658309,3290,166,-0.003375347544974885
