,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9390639611467052,0.17927979276779965,0.059979772864331496
1,y_Tp2_PriceChg,0.9434420674727305,0.1371867787686883,0.053411867835874226
2,y_Tp3_PriceChg,0.9451339728412133,0.13166097054058973,0.05200453948932664
3,y_Tp4_PriceChg,0.9457584342084884,0.12937705156531729,0.051193108297677
4,y_Tp5_PriceChg,0.9367083487380214,0.16999743366988807,0.05801837470391658
5,y_Tp6_PriceChg,0.9302377729791008,0.1827753397099999,0.06375537153403277
6,y_Tp7_PriceChg,0.9415112867046802,0.14353350463251172,0.05676627275160947
7,y_Tp8_PriceChg,0.9416300297208985,0.1455189765896892,0.058042609507357665
8,y_Tp9_PriceChg,0.9414006968933062,0.15527778900606293,0.05790494240431287
9,y_Tp10_PriceChg,0.9331620584303049,0.3002916770625898,0.06611318086531374
10,y_Tp11_PriceChg,0.9430923563453685,0.1505046610861226,0.06015400442924988
11,y_Tp12_PriceChg,0.9394690101014617,0.16495921737050895,0.06309275760848773
12,y_Tp13_PriceChg,0.9459941103617345,0.14512792457039242,0.058693752094861884
