,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9882141023322095,2.803072010930965,0.03199298726415614
1,y_Tp2_PriceChg,0.9836152108460159,3.306905385585888,0.03930067607033713
2,y_Tp3_PriceChg,0.9831866891489057,3.351766054021146,0.039000521666928925
3,y_Tp4_PriceChg,0.9801713756877127,3.6420440146060136,0.04248153748973717
4,y_Tp5_PriceChg,0.9778264021570372,3.8533769882030247,0.04661709815858809
5,y_Tp6_PriceChg,0.9751846408459846,4.07839237368983,0.04906363854802409
6,y_Tp7_PriceChg,0.9721521858532467,4.322267716523574,0.052416717789623424
7,y_Tp8_PriceChg,0.9682067100222206,4.620280561749002,0.05579146383558581
8,y_Tp9_PriceChg,0.9684672250245034,4.60346258225347,0.056961084717436626
9,y_Tp10_PriceChg,0.963366632280393,4.9637488791468165,0.060305293108579155
10,y_Tp11_PriceChg,0.9615713708243586,5.085755382436737,0.06337193836998163
11,y_Tp12_PriceChg,0.9553921515401209,5.481374291936957,0.0679296262472021
12,y_Tp13_PriceChg,0.9536881123216533,5.587164060766012,0.0686679496964343
