,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,0.14496901986562566,3716,193,0.0007511348179566097
3,x_Tm2_PriceChg,0.08521133243953946,3733,175,0.00048692189965451123
6,x_Tm3_PriceChg,0.04987813779933905,3758,179,0.0002786488145214472
2,x_Tm1_PRoc1,0.022065658277522684,3784,166,0.00013292565227423304
12,x_Tm5_PriceChg,0.022984178239972276,3769,193,0.00011908900642472681
20,x_Tm7_PRoc1,0.021395219600699192,3709,189,0.00011320222010951954
28,x_Tm10_VolChg,0.020390851462140612,3821,190,0.00010732027085337164
16,x_Tm6_VolChg,0.018983240767628005,3757,185,0.00010261211225744867
35,x_Tm12_PRoc1,0.01953059879137142,3694,211,9.256207957995933e-05
33,x_Tm12_PriceChg,0.020714418251466502,3788,227,9.125294383905948e-05
15,x_Tm6_PriceChg,0.015019977617918321,3800,191,7.863862627182367e-05
26,x_Tm9_PRoc1,0.013729603049506364,3689,195,7.040822076669931e-05
17,x_Tm6_PRoc1,0.013846124570567568,3795,197,7.02848962972973e-05
4,x_Tm2_VolChg,0.010171298891154956,3749,207,4.913670961910607e-05
1,x_Tm1_VolChg,0.006877212656175693,3775,193,3.563322619780152e-05
9,x_Tm4_PriceChg,0.0057242030888815165,3769,179,3.197878820604199e-05
19,x_Tm7_VolChg,0.005671793093589134,3845,191,2.969525179889599e-05
18,x_Tm7_PriceChg,0.0055953996499279795,3729,218,2.5666970871229265e-05
24,x_Tm9_PriceChg,0.004235156075345786,3771,199,2.128219133339591e-05
37,x_Tm13_VolChg,0.002957246581084225,3836,217,1.3627864428959564e-05
34,x_Tm12_VolChg,0.0023383083764857383,3758,191,1.2242452232909624e-05
7,x_Tm3_VolChg,0.0015673373599899524,3851,173,9.059753525953481e-06
22,x_Tm8_VolChg,-0.0007485049598025276,3775,205,-3.651243706353793e-06
5,x_Tm2_PRoc1,-0.0011384547746268667,3793,191,-5.960496202234904e-06
25,x_Tm9_VolChg,-0.0017663139439597028,3775,216,-8.17737937018381e-06
32,x_Tm11_PRoc1,-0.001771428944088375,3924,206,-8.599169631496966e-06
10,x_Tm4_VolChg,-0.0017483899746325955,3737,184,-9.502119427351062e-06
21,x_Tm8_PriceChg,-0.002025203717062438,3810,186,-1.0888192027217408e-05
11,x_Tm4_PRoc1,-0.0031823348097641726,3728,181,-1.758196027494018e-05
31,x_Tm11_VolChg,-0.004882786594887343,3793,184,-2.6536883667865994e-05
38,x_Tm13_PRoc1,-0.007880877418772388,3684,194,-4.062307947820819e-05
27,x_Tm10_PriceChg,-0.009440694782180346,3775,207,-4.560722116995336e-05
14,x_Tm5_PRoc1,-0.009099379959796833,3723,188,-4.840095723296188e-05
29,x_Tm10_PRoc1,-0.012413960586620499,3806,194,-6.398948755989948e-05
30,x_Tm11_PriceChg,-0.015467066030096597,3763,189,-8.18363282015693e-05
8,x_Tm3_PRoc1,-0.016414953689709116,3912,197,-8.3324638018828e-05
23,x_Tm8_PRoc1,-0.0224820637241599,3873,203,-0.00011074908238502413
36,x_Tm13_PriceChg,-0.0234675896269909,3753,168,-0.00013968803349399345
13,x_Tm5_VolChg,-0.05187048245882005,3826,209,-0.0002481841265972251
