,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,0.1301695637481929,3809,230,0.0005659546249921431
9,x_Tm4_PriceChg,0.06553704457578319,3828,209,0.0003135743759606851
8,x_Tm3_PRoc1,0.03828137961997491,3812,177,0.00021627898090381304
6,x_Tm3_PriceChg,0.03363036631356736,3731,194,0.0001733524036781823
3,x_Tm2_PriceChg,0.03159887850821554,3811,189,0.00016718983337680183
12,x_Tm5_PriceChg,0.031636794214870034,3767,206,0.00015357667094597103
15,x_Tm6_PriceChg,0.027157908092296124,3847,192,0.00014144743798070897
1,x_Tm1_VolChg,0.02274906500918468,3724,206,0.00011043235441351786
37,x_Tm13_VolChg,0.018322955065198106,3742,171,0.00010715178400700647
4,x_Tm2_VolChg,0.016621319586917503,3773,207,8.029622988849036e-05
34,x_Tm12_VolChg,0.01011466421106467,3723,162,6.243619883373253e-05
16,x_Tm6_VolChg,0.01070412421793822,3814,179,5.979957663652637e-05
22,x_Tm8_VolChg,0.011624462050818065,3791,195,5.9612625901631106e-05
20,x_Tm7_PRoc1,0.011211104476650604,3781,206,5.442283726529419e-05
21,x_Tm8_PriceChg,0.006816271920491782,3876,170,4.0095717179363424e-05
19,x_Tm7_VolChg,0.008500558614804973,3825,214,3.9722236517780245e-05
23,x_Tm8_PRoc1,0.004705917547595407,3786,192,2.450998722705941e-05
29,x_Tm10_PRoc1,0.004994413886231639,3775,206,2.4244727603066207e-05
28,x_Tm10_VolChg,0.0043121007259501595,3859,201,2.1453237442538107e-05
38,x_Tm13_PRoc1,0.0005237872275312238,3735,191,2.7423415053990775e-06
18,x_Tm7_PriceChg,-3.4885015814829185e-05,3752,176,-1.9821031712971128e-07
36,x_Tm13_PriceChg,-0.0014838136490965556,3853,179,-8.289461726796401e-06
25,x_Tm9_VolChg,-0.001821582908432199,3810,187,-9.741085071829942e-06
27,x_Tm10_PriceChg,-0.0019057433518981034,3764,192,-9.925746624469289e-06
5,x_Tm2_PRoc1,-0.0020181072018077904,3745,184,-1.0967973922868426e-05
14,x_Tm5_PRoc1,-0.002225201151416856,3776,197,-1.1295437316836833e-05
24,x_Tm9_PriceChg,-0.0027492890520912244,3817,208,-1.3217735827361655e-05
31,x_Tm11_VolChg,-0.003466440027619359,3781,202,-1.716059419613544e-05
7,x_Tm3_VolChg,-0.003659897868275808,3782,182,-2.0109328946570375e-05
26,x_Tm9_PRoc1,-0.00452592856983208,3780,204,-2.2185924361921962e-05
32,x_Tm11_PRoc1,-0.005280656231621323,3772,194,-2.7219877482584137e-05
13,x_Tm5_VolChg,-0.006791890818439728,3760,176,-3.859028874113482e-05
30,x_Tm11_PriceChg,-0.009056025004418615,3771,203,-4.4610960612899584e-05
33,x_Tm12_PriceChg,-0.011950177908284723,3710,204,-5.8579303471983934e-05
35,x_Tm12_PRoc1,-0.014659800052132018,3841,207,-7.082029010691796e-05
2,x_Tm1_PRoc1,-0.015031174098155922,3725,199,-7.553353818168805e-05
11,x_Tm4_PRoc1,-0.019473414471171048,3762,217,-8.973923719433663e-05
17,x_Tm6_PRoc1,-0.0160563968098588,3780,169,-9.500826514709349e-05
10,x_Tm4_VolChg,-0.04481514457734083,3760,184,-0.0002435605683551132
