,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,0.12601378132369348,3751,208,0.0006058354871331418
6,x_Tm3_PriceChg,0.06713181942445495,3881,234,0.0002868881171985254
3,x_Tm2_PriceChg,0.04635414230770168,3705,196,0.00023650072605970243
1,x_Tm1_VolChg,0.026460618683801507,3815,195,0.00013569548042975131
9,x_Tm4_PriceChg,0.023539028099768124,3711,193,0.00012196387616460168
21,x_Tm8_PriceChg,0.010065112599704345,3741,168,5.991138452204967e-05
2,x_Tm1_PRoc1,0.009946322376217806,3740,194,5.126970297019487e-05
18,x_Tm7_PriceChg,0.009451082950306427,3809,196,4.821981097095116e-05
7,x_Tm3_VolChg,0.008718033656998818,3775,183,4.763952818032141e-05
23,x_Tm8_PRoc1,0.010095523287854654,3828,223,4.527140487827199e-05
15,x_Tm6_PriceChg,0.008020155350256531,3769,178,4.505705252953108e-05
37,x_Tm13_VolChg,0.006216995915203506,3855,174,3.572986158162935e-05
35,x_Tm12_PRoc1,0.005920092178615861,3740,171,3.462042209716878e-05
31,x_Tm11_VolChg,0.006524454658812305,3804,194,3.363120958150673e-05
8,x_Tm3_PRoc1,0.005288744746900331,3776,194,2.7261570860310986e-05
29,x_Tm10_PRoc1,0.004529973767859033,3793,167,2.7125591424305585e-05
24,x_Tm9_PriceChg,0.004654590071440347,3712,176,2.6446534496820153e-05
25,x_Tm9_VolChg,0.0045833403919092125,3784,189,2.4250478264069908e-05
38,x_Tm13_PRoc1,0.0016055992653399365,3816,151,1.0633107717483023e-05
20,x_Tm7_PRoc1,0.001529404997112863,3767,201,7.608980085138622e-06
36,x_Tm13_PriceChg,0.001447151066356536,3836,220,6.577959392529709e-06
34,x_Tm12_VolChg,0.0004506296886628464,3681,201,2.2419387495664e-06
30,x_Tm11_PriceChg,-0.0005303499705367459,3701,182,-2.914010827124977e-06
33,x_Tm12_PriceChg,-0.000706214579074363,3815,195,-3.6216132260223745e-06
27,x_Tm10_PriceChg,-0.0015454713030823189,3798,202,-7.650848035060985e-06
11,x_Tm4_PRoc1,-0.002903109853940543,3736,203,-1.4301033763253905e-05
17,x_Tm6_PRoc1,-0.0031675833847193465,3732,205,-1.545162626692364e-05
28,x_Tm10_VolChg,-0.005408924191574779,3785,194,-2.7881052533890615e-05
19,x_Tm7_VolChg,-0.005932456240593512,3769,209,-2.8384958088964174e-05
10,x_Tm4_VolChg,-0.006081473265436777,3786,199,-3.056016716299888e-05
13,x_Tm5_VolChg,-0.006987101144453866,3678,180,-3.881722858029926e-05
12,x_Tm5_PriceChg,-0.009731866633411721,3754,225,-4.325274059294098e-05
22,x_Tm8_VolChg,-0.009233411670799704,3826,206,-4.4822386751454876e-05
14,x_Tm5_PRoc1,-0.01063827471284684,3837,220,-4.835579414930382e-05
26,x_Tm9_PRoc1,-0.008643254189346602,3760,170,-5.084267170203884e-05
16,x_Tm6_VolChg,-0.010065721381620494,3814,193,-5.215399679596111e-05
5,x_Tm2_PRoc1,-0.011527766862857128,3774,189,-6.0993475464852525e-05
32,x_Tm11_PRoc1,-0.011973546338407595,3827,192,-6.236222051253955e-05
4,x_Tm2_VolChg,-0.020066935869475323,3829,191,-0.00010506249146322158
