,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,0.13248722748468544,3830,196,0.0006759552422688033
6,x_Tm3_PriceChg,0.09814785775535347,3730,212,0.00046296159318562954
3,x_Tm2_PriceChg,0.05671507999178134,3750,195,0.0002908465640604171
9,x_Tm4_PriceChg,0.04238406220624672,3741,180,0.00023546701225692624
4,x_Tm2_VolChg,0.03288239600753779,3816,189,0.0001739809312568137
25,x_Tm9_VolChg,0.02830899909774265,3802,200,0.00014154499548871323
24,x_Tm9_PriceChg,0.02875141366576349,3755,217,0.00013249499385144465
30,x_Tm11_PriceChg,0.02329060293316376,3814,199,0.00011703820569429024
12,x_Tm5_PriceChg,0.021117179565117973,3763,185,0.00011414691656820526
33,x_Tm12_PriceChg,0.012828862578162329,3723,180,7.127145876756849e-05
21,x_Tm8_PriceChg,0.00971059886578502,3726,202,4.8072271612797124e-05
15,x_Tm6_PriceChg,0.008056292857839799,3739,189,4.262588813671851e-05
5,x_Tm2_PRoc1,0.005895771324688366,3806,176,3.349870070845662e-05
22,x_Tm8_VolChg,0.005508960000324542,3809,198,2.7823030304669403e-05
35,x_Tm12_PRoc1,0.004765559827697326,3749,184,2.589978167226808e-05
23,x_Tm8_PRoc1,0.003933658659602195,3742,191,2.059507151624186e-05
20,x_Tm7_PRoc1,0.0031252327627536913,3774,171,1.8276214986863692e-05
32,x_Tm11_PRoc1,0.0030123975034954177,3790,204,1.4766654428899107e-05
26,x_Tm9_PRoc1,0.0015482212866722192,3769,192,8.063652534751142e-06
18,x_Tm7_PriceChg,0.00046746932174221634,3796,209,2.236695319340748e-06
34,x_Tm12_VolChg,-0.0001991875937107605,3772,191,-1.0428669827788507e-06
8,x_Tm3_PRoc1,-0.0016837998639560505,3830,199,-8.461305849025379e-06
16,x_Tm6_VolChg,-0.0016984231115305273,3794,199,-8.534789505178529e-06
10,x_Tm4_VolChg,-0.0028047906382718713,3752,190,-1.4762055990904586e-05
28,x_Tm10_VolChg,-0.004090286275223569,3751,193,-2.1193193135873415e-05
29,x_Tm10_PRoc1,-0.004407765806852019,3808,184,-2.3955248950282715e-05
36,x_Tm13_PriceChg,-0.004891205901222762,3840,188,-2.601705266607852e-05
38,x_Tm13_PRoc1,-0.007543794219738961,3798,185,-4.077726605264303e-05
11,x_Tm4_PRoc1,-0.008130780771631145,3798,198,-4.106454935167245e-05
27,x_Tm10_PriceChg,-0.008891794703976021,3766,198,-4.4908054060484954e-05
31,x_Tm11_VolChg,-0.00951180668743918,3691,202,-4.708815191801574e-05
13,x_Tm5_VolChg,-0.011992504350567075,3777,188,-6.37899167583355e-05
14,x_Tm5_PRoc1,-0.011320321183224423,3837,176,-6.432000672286605e-05
7,x_Tm3_VolChg,-0.01281544748465972,3754,178,-7.199689598123438e-05
1,x_Tm1_VolChg,-0.014715855980552363,3771,193,-7.624795844845784e-05
19,x_Tm7_VolChg,-0.015871942155898947,3721,197,-8.056823429390328e-05
17,x_Tm6_PRoc1,-0.016902565232636408,3780,204,-8.285571192468827e-05
37,x_Tm13_VolChg,-0.01824016248063343,3777,196,-9.306205347261955e-05
2,x_Tm1_PRoc1,-0.05958111193788822,3758,233,-0.00025571292677205245
