,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,0.1363017906343636,3766,174,0.0007833436243354229
3,x_Tm2_PriceChg,0.0583046911827125,3753,205,0.0002844131277205488
9,x_Tm4_PriceChg,0.04529200993794116,3791,204,0.0002220196565585351
2,x_Tm1_PRoc1,0.03100149036746609,3780,187,0.0001657833709490165
6,x_Tm3_PriceChg,0.029055484369283274,3770,182,0.00015964551851254546
30,x_Tm11_PriceChg,0.034053531817231295,3839,214,0.0001591286533515481
13,x_Tm5_VolChg,0.020923904155789548,3807,201,0.00010409902565069426
14,x_Tm5_PRoc1,0.021766472440337997,3755,220,9.893851109244545e-05
29,x_Tm10_PRoc1,0.018472677906192954,3809,192,9.621186409475497e-05
35,x_Tm12_PRoc1,0.015223471347078405,3705,205,7.426083583940685e-05
15,x_Tm6_PriceChg,0.012634350502160965,3825,185,6.829378649816738e-05
33,x_Tm12_PriceChg,0.01240106520394786,3774,183,6.776538362813037e-05
22,x_Tm8_VolChg,0.009204696285782014,3742,169,5.4465658495751566e-05
28,x_Tm10_VolChg,0.009896094899426002,3781,188,5.2638802656521285e-05
25,x_Tm9_VolChg,0.010201037988572043,3763,196,5.204611218659206e-05
18,x_Tm7_PriceChg,0.007491279543030622,3782,186,4.027569646790657e-05
20,x_Tm7_PRoc1,0.00552070437782516,3771,190,2.9056338830658735e-05
21,x_Tm8_PriceChg,0.004705559632631965,3839,191,2.4636437867183063e-05
8,x_Tm3_PRoc1,0.0039642164553592985,3789,190,2.086429713346999e-05
27,x_Tm10_PriceChg,0.0030883268729869602,3815,180,1.7157371516594224e-05
24,x_Tm9_PriceChg,0.002721151638058532,3795,184,1.4788867598144196e-05
11,x_Tm4_PRoc1,0.0026391911535925397,3797,190,1.3890479755750208e-05
23,x_Tm8_PRoc1,0.0021129399508672993,3853,204,1.0357548778761272e-05
38,x_Tm13_PRoc1,0.0011612870089977292,3679,176,6.5982216420325525e-06
4,x_Tm2_VolChg,0.0009883945828734325,3800,216,4.575900846636262e-06
32,x_Tm11_PRoc1,0.0002580411147361966,3713,197,1.3098533742954142e-06
19,x_Tm7_VolChg,-0.0005287126267417407,3797,180,-2.9372923707874483e-06
36,x_Tm13_PriceChg,-0.001971348419150885,3741,199,-9.906273463069773e-06
5,x_Tm2_PRoc1,-0.005500040745613814,3783,216,-2.5463151600063954e-05
31,x_Tm11_VolChg,-0.006519518085467547,3772,201,-3.243541336053506e-05
12,x_Tm5_PriceChg,-0.00836201523740301,3732,202,-4.139611503664857e-05
26,x_Tm9_PRoc1,-0.009109644060968772,3867,218,-4.17873580778384e-05
34,x_Tm12_VolChg,-0.009968546645981279,3729,189,-5.2743633047519996e-05
1,x_Tm1_VolChg,-0.011698707623058453,3870,210,-5.5708131538373587e-05
17,x_Tm6_PRoc1,-0.012433770307444138,3788,176,-7.064642220138715e-05
37,x_Tm13_VolChg,-0.015774731130336974,3698,187,-8.435685096436884e-05
7,x_Tm3_VolChg,-0.01937104657392238,3741,193,-0.0001003681169633284
10,x_Tm4_VolChg,-0.019243101494839265,3772,187,-0.00010290428606865917
16,x_Tm6_VolChg,-0.03016490319937547,3798,194,-0.0001554891917493581
