,columns,r2,rmse,mape
0,Tp1_pred,0.952601446584334,0.031017315030589836,0.013201276477465674
1,Tp2_pred,0.9510174323340596,0.03153134024356374,0.013480315897108573
2,Tp3_pred,0.9512822843955914,0.031445978651842676,0.01315949035891941
3,Tp4_pred,0.9495875219098617,0.0319882646526399,0.013501451639174307
4,Tp5_pred,0.9504599275732447,0.031710272631436685,0.013368574613882852
5,Tp6_pred,0.9493470812983338,0.032064457384958014,0.013387967635091251
6,Tp7_pred,0.94933394818879,0.03206861389508526,0.013383434671519829
7,Tp8_pred,0.9504361596420886,0.03171787856701663,0.013259095806071299
8,Tp9_pred,0.952917080373387,0.03091386814351468,0.013090978320249374
9,Tp10_pred,0.9601415690493275,0.028443416224724665,0.011429164147496599
10,Tp11_pred,0.960481069399282,0.028322021574173194,0.011254407377861535
11,Tp12_pred,0.962390244776874,0.027629429067541116,0.010884271966090372
12,Tp13_pred,0.9638657213815587,0.02708203854014002,0.010390252084867723
