,y_Tp3_PriceChg_c0,y_Tp3_PriceChg_c1,y_Tp3_PriceChg_c2,y_Tp3_PriceChg_c3,y_Tp3_PriceChg_c4,y_Tp3_PriceChg_c5,y_Tp3_PriceChg_c6,pc_pred
0,-0.043627,0.70054,0.439776,-0.030349,-0.029206,-0.030043,-0.00709,-0.07977793251160967
1,0.00184,0.26596,0.770963,-0.029151,-0.01018,-0.012102,0.012671,-0.025446281617565923
2,-0.005131,0.257194,0.703878,0.006179,0.039101,0.006882,-0.008103,-0.013794272813625368
3,-0.001609,0.149439,0.796086,-0.012446,0.055261,0.018124,-0.004856,0.0032052982776564257
4,0.022602,0.09852,0.706761,0.28319,-0.035185,-0.071854,-0.004034,-0.009553042588725571
5,-0.018596,0.185288,0.752286,0.058347,0.012175,0.014967,-0.004468,0.002348105168860101
6,-0.013173,0.437429,0.623473,-0.051799,0.004564,-0.005492,0.004998,-0.041813679938193266
7,-0.069235,-0.069827,0.153927,0.853636,0.016618,0.082083,0.032798,0.1650945952965738
8,-0.008846,0.158975,0.818349,0.051446,-0.00267,-0.022298,0.005043,-0.0071207354420021254
9,0.008462,0.116602,0.882737,0.113631,-0.063753,-0.036963,-0.020716,-0.028526650778588895
10,-0.013922,0.138354,0.856638,0.035166,0.001363,-0.028136,0.010537,-0.0034118301484339017
11,-0.008122,0.171203,0.625855,0.149333,0.075786,-0.034869,0.020814,0.02014241457081814
12,-0.0151,0.855651,0.200124,-0.044891,0.021585,-0.033315,0.015945,-0.08719416293252776
13,-0.004773,0.04006,0.126033,0.462457,0.160797,0.246443,-0.031018,0.13861881015758046
14,0.02119,0.186827,0.754143,0.026575,0.007888,0.002555,0.000822,-0.014067291944729398
15,0.030491,0.274325,0.687139,-0.030094,0.036314,-0.003091,0.004915,-0.02668094537584449
16,-0.017894,0.231024,0.773951,0.015751,0.014175,-0.010924,-0.006083,-0.015173870671883638
17,0.391492,0.553938,-0.048804,0.050228,0.010479,-0.004448,0.047117,-0.13573605924911394
18,0.027221,0.10401,0.729956,0.147695,-0.008193,-0.005135,0.004446,0.002594335200071886
19,-0.006565,0.090304,0.073826,0.671844,0.084659,0.08614,-0.000207,0.10943018611093532
20,0.040406,0.131282,0.642526,0.114668,0.021155,0.027811,0.022151,0.015673894776115326
21,-0.020828,0.6322,0.357348,0.003756,0.005128,0.003745,0.018651,-0.04670438036581275
22,0.02088,0.779697,0.211495,0.080338,-0.073745,-0.00671,-0.011955,-0.09919927517077926
23,4e-06,0.180396,0.814114,0.001911,0.006456,-0.012086,0.009205,-0.01054363527541614
24,0.042224,0.9552,0.141048,-0.033956,-0.050533,-0.024671,-0.029312,-0.14557062184827477
25,0.04937,0.291702,0.496031,0.0858,0.075418,0.016745,-0.015066,-0.01811111744403046
26,0.016816,0.153167,0.753529,0.036503,0.04065,0.017674,-0.018339,-0.006458349590132938
27,0.005348,0.225567,0.751886,-0.004528,0.032381,0.006079,-0.016734,-0.019800248293630796
28,0.053147,0.543046,0.386858,0.061415,-0.038213,-0.067046,0.060793,-0.059979714673240245
29,-0.004071,0.017649,0.564888,0.495156,-0.052982,-0.013484,-0.007156,0.04077736695571082
30,-0.007944,0.056728,0.627195,0.290898,0.023795,0.023237,-0.013909,0.038143128805044564
31,0.002046,0.22226,0.77323,-0.004284,0.006486,-0.013098,0.01336,-0.01480479508517928
32,0.019733,0.106984,0.681064,0.228902,0.000823,-0.016026,-0.021482,-0.0007401708888430079
33,0.009576,0.225065,0.743066,-0.014254,0.003802,-0.013044,0.045789,-0.003586939831273138
34,0.013798,0.125394,0.43627,0.362018,0.021677,0.037918,0.002927,0.04341130151848897
35,0.021749,0.031631,0.638849,0.275033,0.007342,0.008937,0.016459,0.03805451169361952
36,-0.019838,0.277247,0.694195,0.074077,-0.002937,0.011246,-0.033991,-0.023745546264878927
37,0.092789,0.972285,0.01363,-0.041564,-0.078206,0.021744,0.019322,-0.131626050139672
38,-0.020004,0.041849,-0.013549,0.445493,0.229727,0.243548,0.072936,0.2017339221836453
39,-0.001163,0.659761,0.312526,-0.020893,0.044377,0.004229,0.001163,-0.05841665088246135
40,-0.002432,0.128419,0.869893,0.022873,0.014514,-0.006109,-0.027158,-0.01560381020911328
41,0.054106,0.025892,0.294694,0.469056,0.107949,0.070017,-0.021714,0.06852381769719741
42,0.013225,0.338451,0.633091,-0.008142,0.007359,-0.004646,0.020663,-0.025394096876921894
43,-0.028087,0.608047,0.48421,-0.030699,-0.008072,-0.034,0.0086,-0.06351486206577918
44,-0.025546,0.195813,0.810278,-0.01478,0.026793,0.000544,0.006897,-0.0005228288958273974
45,0.027045,0.044348,0.441636,0.369081,0.012126,0.083712,0.022052,0.06976476267146206
46,-0.043027,-0.112472,0.045583,0.711865,0.362701,0.041792,-0.006443,0.18374586837317025
47,-0.000321,0.244551,0.713702,0.017623,0.003506,0.004505,0.016434,-0.00848802181483323
48,0.02269,0.185636,0.77796,0.026829,-0.012307,0.01127,-0.012078,-0.021700638471702824
49,-0.007167,0.850593,0.162057,0.072402,-0.043333,-0.034541,-1.2e-05,-0.0967834031690714
50,0.026094,0.116223,0.758513,0.0543,0.019605,0.008694,0.016571,0.006725209236528315
51,0.012162,0.007121,0.228377,0.614751,0.105012,0.046201,-0.013623,0.09385474632418477
52,0.005962,0.208205,0.754032,0.020335,0.037352,-0.019265,-0.006621,-0.016995237398790455
53,0.048463,0.213685,0.783134,-0.03236,0.001028,-0.019832,0.005881,-0.036113081687203626
54,-0.071261,0.035137,0.404621,0.707426,0.014379,-0.030841,-0.059462,0.06291915393178604
55,-0.11166,0.094017,0.051556,-0.034715,-0.023471,0.348567,0.675705,0.4351012447763417
56,0.036114,0.023804,0.068758,0.615433,0.216353,0.072221,-0.032682,0.10503717982747948
57,-0.017368,-0.00559,0.317218,0.557523,0.078143,0.074583,-0.00451,0.104807873156282
58,-0.02319,0.34478,0.642071,0.056498,-0.008681,-0.014526,0.003048,-0.023365424273066763
59,-0.043328,0.809679,0.272897,-0.012341,-0.02787,0.001428,-0.000465,-0.07794229995771752
60,0.196502,0.910107,-0.029736,0.092409,-0.163102,0.043245,-0.049425,-0.18167142011805767
61,-0.001032,0.208563,0.736318,0.047761,0.005723,-0.002758,0.005425,-0.00790916313748593
62,0.00011,0.204269,0.738119,-0.007862,0.011764,0.015708,0.037891,0.008068577257135928
63,0.011192,0.416559,0.608237,-0.028775,0.027731,-0.014196,-0.020748,-0.05396815629164963
64,-0.004857,0.258111,0.813841,-0.050755,-0.026223,0.016268,-0.006385,-0.02880387353107263
