,y_Tp9_PriceChg_c0,y_Tp9_PriceChg_c1,y_Tp9_PriceChg_c2,y_Tp9_PriceChg_c3,y_Tp9_PriceChg_c4,y_Tp9_PriceChg_c5,y_Tp9_PriceChg_c6,pc_pred
0,0.011828,0.57373,0.487467,-0.05251,-0.028511,-0.0103,0.018295,-0.0716910927109202
1,-0.030298,0.621201,0.484084,0.010799,-0.012261,-0.060969,-0.012556,-0.08759747515466246
2,0.056695,0.692878,0.389947,-0.035738,-0.069974,-0.023734,-0.010075,-0.12502380775968602
3,-0.043912,0.185271,0.851588,0.010259,-0.01917,0.001555,0.014408,0.001976997421775311
4,-0.031414,0.157887,0.117887,0.459172,0.170199,0.110913,0.015356,0.13249824260897175
5,-0.01721,0.207436,0.713757,0.050253,-0.007744,0.017385,0.036123,0.015730999412354812
6,-0.00654,0.107436,0.706738,0.203611,0.01509,-0.019365,-0.00697,0.01309164022382119
7,-0.026361,0.133235,0.806207,0.040736,-0.008426,0.033481,0.021128,0.023339828908071507
8,-0.035176,0.047965,0.331443,0.491844,0.083506,0.041566,0.038852,0.1213108205510139
9,-0.028639,0.072083,0.644894,0.300935,0.004053,-0.006844,0.013517,0.047464750601814404
10,0.068302,0.600845,0.39761,-0.056484,-0.011095,0.005976,-0.005155,-0.09435481482711344
11,-0.020561,0.106233,0.695896,0.239401,0.03334,-0.036783,-0.017525,0.014059343224295652
12,0.046649,0.30919,0.643058,0.081993,-0.07183,-0.00302,-0.00604,-0.0535367225474151
13,-0.042929,0.093013,0.923374,0.045604,-0.041911,0.017841,0.005008,0.012413721457248707
14,-0.047693,0.198436,0.820345,0.032946,0.006834,-0.009371,-0.001497,-0.002174072636447838
15,-0.018627,0.170834,0.804917,0.074424,-0.039172,0.018458,-0.010834,-0.007899249482606101
16,0.01681,0.132219,0.769202,0.127312,-0.023453,0.01605,-0.03814,-0.018622070517289067
17,-0.07928,0.062594,0.330159,0.454361,0.129311,0.025377,0.077478,0.15247941089597672
18,0.049773,0.556018,0.354111,-0.031387,0.021639,0.027583,0.022264,-0.052118319552378604
19,0.03247,0.309522,0.731696,-0.012701,-0.01653,-0.029828,-0.014629,-0.062011685948300435
20,-0.024048,0.101108,0.828613,0.112577,0.001617,-0.025464,0.005596,0.009684883691106016
21,0.039399,0.125088,0.693318,0.140815,-0.000193,0.030113,-0.02854,-0.007686510064644398
