,columns,r2,rmse,mape
0,Tp1_pred,0.9904494715982305,0.09875050870698238,0.008872955102973226
1,Tp2_pred,0.9904810763581778,0.09858697993264648,0.008852854005200214
2,Tp3_pred,0.9904673031954704,0.09865827810370814,0.008857546395281074
3,Tp4_pred,0.990466889484308,0.09866041892434388,0.008859232625738634
4,Tp5_pred,0.9905403788953671,0.09827940354359885,0.008813722334153328
5,Tp6_pred,0.9905357415718397,0.09830349000244155,0.008817302715940672
6,Tp7_pred,0.990774736845632,0.0970543539538109,0.008673255735334949
7,Tp8_pred,0.9907278408016291,0.09730072609308517,0.008867663805148768
8,Tp9_pred,0.9922060114722719,0.08920835322534644,0.00783007356313176
9,Tp10_pred,0.9922237908676994,0.08910654552199786,0.00781903379824068
10,Tp11_pred,0.9921760152789594,0.08937985343299543,0.007844044924161181
11,Tp12_pred,0.992159561570797,0.08947378623774666,0.007854265641291856
12,Tp13_pred,0.9921425512483211,0.08957079314357427,0.007868156990812536
