,yref_Tm0_close,Tp1_pred,Tp2_pred,Tp3_pred,Tp4_pred,Tp5_pred,Tp6_pred,Tp7_pred,Tp8_pred,Tp9_pred,Tp10_pred,Tp11_pred,Tp12_pred,Tp13_pred
2019-01-01,5.7214884757995605,5.7422534152281,5.7419306639783425,5.741951119301865,5.741146690593717,5.738501025619785,5.7387192118816905,5.739558698375495,5.740156618432344,5.739839420293421,5.739068423293674,5.736700512054133,5.735191384496195,5.733258856652903
2019-01-02,5.73749303817749,5.735132006777302,5.734855134557119,5.734835666948859,5.735697932332306,5.736682101280696,5.736654759891967,5.73765216873533,5.7358744547806015,5.734704927361877,5.734012944664087,5.735163982640305,5.735700286223981,5.736679253276231
2019-01-03,5.7214884757995605,5.748333797501116,5.747981425763047,5.74817993351599,5.748399306936281,5.748467497384635,5.748527959195407,5.749308009222453,5.74741318465281,5.747312787256675,5.746617453515206,5.7460822972126415,5.745973872012219,5.7447599423546585
2019-01-04,5.753496646881104,5.784796665577459,5.784875728622907,5.78483999828091,5.784845272765629,5.787035814483284,5.786970607577295,5.787244952136385,5.785540618670698,5.785766242780371,5.7856504178793,5.785223641572692,5.785681585614184,5.784629792527154
2019-01-07,5.809512615203857,5.789458333590337,5.78970216427478,5.7906645934665715,5.790545771589365,5.789588769086031,5.789692932005682,5.793516755552227,5.792769623277977,5.79230997114939,5.792305824813912,5.792845756341707,5.792627194695542,5.791904176692803
2019-01-08,5.8175129890441895,5.836140370872647,5.835678545351366,5.836133413207216,5.835724844914737,5.834520421829227,5.834683807770412,5.838547776989431,5.838462660143076,5.837604481247334,5.837432990615937,5.837410904685285,5.8364493567849856,5.835439834313357
2019-01-09,5.86552619934082,5.82465140015394,5.824535346549546,5.824600004516656,5.8242911824213515,5.824521541359383,5.824628537319938,5.828130105500362,5.827912453247153,5.827669177237933,5.827514450800446,5.827521336235501,5.826814498914614,5.8253933972313
2019-01-10,5.86552619934082,5.8139886784261465,5.813920097401349,5.813941540425562,5.813633362593921,5.814059666825658,5.814151403953637,5.8209269487227076,5.820439048946909,5.819268723842777,5.819083934634304,5.819011002425173,5.81909338954986,5.818472944102679
2019-01-11,5.833518028259277,5.8189677586168225,5.818831988296876,5.8193059805581235,5.81923781837461,5.819281593519486,5.819394915158259,5.825807499346785,5.824830279535279,5.8235549241703986,5.823736907657168,5.825060424403571,5.825046279533613,5.825970542222091
2019-01-14,5.809512615203857,5.834390137576267,5.83446452890805,5.8347397051117476,5.834859821484799,5.835486524686928,5.835626640962098,5.839794607172781,5.839517601732561,5.838445928512639,5.837839475325681,5.83938189447003,5.839926222319842,5.839646948835657
2019-01-15,5.841521739959717,5.8811330514673745,5.881250294279385,5.880702326744297,5.880826344942484,5.881228319758611,5.881229078391009,5.885872769240592,5.886503348599149,5.88666194729363,5.88681407104908,5.885366031842112,5.884283613065323,5.882182843689325
2019-01-16,5.937545776367188,5.924355766545273,5.924338592749979,5.923932226757431,5.924495495789372,5.927297249432561,5.927098543299449,5.932359853277431,5.932313693747325,5.93196591765869,5.93286878172125,5.933378194959923,5.933031140268911,5.931679684845797
2019-01-17,5.961550712585449,5.906396580741401,5.906349103363071,5.90625331376355,5.906644757812159,5.907014911965405,5.907034074156586,5.915112329658037,5.912725396468959,5.9106403721983884,5.910945075839773,5.910846995930033,5.910237372045538,5.909303577524559
