Date,y_Tp10_PriceChg_c0,y_Tp10_PriceChg_c1,y_Tp10_PriceChg_c2,y_Tp10_PriceChg_c3,y_Tp10_PriceChg_c4,y_Tp10_PriceChg_c5,y_Tp10_PriceChg_c6,pc_pred
1986-11-28,0.003226,0.032484,0.184374,0.739982,0.038862,0.000617,0.0,0.016766066103741154
1986-12-01,0.002129,0.026394,0.145268,0.740691,0.082897,0.001518,0.0,0.03478840017371875
1986-12-02,0.001099,0.010444,0.071231,0.851927,0.063623,0.001046,0.0,0.04680315822030818
1986-12-03,0.000871,0.01373,0.086231,0.800427,0.096234,0.001507,0.0,0.05085873333965372
1986-12-04,0.000157,0.006002,0.048243,0.842939,0.100022,0.001439,0.0,0.05997168729876999
1986-12-05,0.000257,0.009841,0.067172,0.810324,0.109616,0.00173,0.0,0.05812377691082554
1986-12-08,0.0,0.004242,0.032092,0.73953,0.216802,0.004976,0.001538,0.09042385707419358
1986-12-09,0.0,0.001694,0.009172,0.504462,0.439385,0.029619,0.013977,0.15928869591308414
1986-12-10,0.0,0.001045,0.005711,0.599177,0.367925,0.018597,0.006743,0.1362043868378648
1986-12-11,0.0,0.00141,0.007559,0.592275,0.368545,0.019792,0.009286,0.13786572023186683
1986-12-12,0.0,0.00147,0.008633,0.807276,0.175782,0.004747,0.001457,0.08586526234564092
1986-12-15,0.0,0.005499,0.031783,0.758053,0.194182,0.006833,0.00242,0.08647453593596191
1986-12-16,0.005227,0.03097,0.081069,0.751677,0.124415,0.002647,0.0,0.05123843980319014
1986-12-17,0.00221,0.029504,0.161834,0.691111,0.110501,0.002518,0.0,0.0376021699912175
1986-12-18,0.008396,0.066846,0.29082,0.613089,0.020195,0.000241,0.0,-0.015726944123611062
1986-12-19,0.003167,0.040241,0.213053,0.717005,0.02591,0.000349,0.0,0.007337310274740942
1986-12-22,0.002432,0.042644,0.248742,0.691468,0.014454,0.000151,0.0,-0.001032288329745999
1986-12-23,0.007301,0.066242,0.27293,0.626558,0.026225,0.000328,0.0,-0.01095999152427281
1986-12-24,0.004416,0.044794,0.232369,0.677018,0.039925,0.000792,0.0,0.005685078210410264
1986-12-26,0.002488,0.042842,0.22593,0.699569,0.028672,0.000301,0.0,0.005522028717917051
1986-12-29,0.002897,0.05564,0.251774,0.667027,0.022324,0.000184,0.0,-0.003606694108029942
1986-12-30,0.003468,0.055434,0.230183,0.675355,0.034908,0.000375,0.0,0.002295690838162371
1986-12-31,0.003524,0.054798,0.221731,0.663819,0.055098,0.00047,0.0,0.008116420682812396
