Date,y_Tp4_PriceChg_c0,y_Tp4_PriceChg_c1,y_Tp4_PriceChg_c2,y_Tp4_PriceChg_c3,y_Tp4_PriceChg_c4,y_Tp4_PriceChg_c5,pc_pred
1986-11-25,0.000428,0.000273,0.392865,0.601437,0.004957,0.0,0.005539234622283161
1986-11-26,0.001268,0.000697,0.338957,0.649044,0.009884,0.0,0.014678587184293681
1986-11-28,0.001298,0.000739,0.253304,0.729121,0.015211,0.0,0.029397826881639708
1986-12-01,0.001163,0.000394,0.167811,0.79745,0.032604,0.0,0.04742831167448128
1986-12-02,0.000628,0.0,0.143524,0.799156,0.055885,0.000329,0.05783305262353756
1986-12-03,0.000877,0.000246,0.170401,0.793077,0.034697,0.0,0.047746745006539
1986-12-04,0.000877,0.0,0.119605,0.814796,0.063337,0.000686,0.06355906978263284
1986-12-05,0.002645,0.000466,0.241175,0.70251,0.051017,0.0,0.03989815757109121
1986-12-08,0.000109,0.0,0.094754,0.86452,0.039875,0.000608,0.061724641340727984
1986-12-09,0.000454,0.0,0.021648,0.692296,0.267228,0.018206,0.14138182118745313
1986-12-10,0.000524,0.0,0.080068,0.798864,0.114429,0.005599,0.08580553244011983
1986-12-11,0.000299,0.0,0.050273,0.83024,0.112458,0.00643,0.090519347270305
1986-12-12,0.000375,9.8e-05,0.267419,0.703496,0.027901,0.0,0.031122544851440254
1986-12-15,0.000127,0.0,0.146829,0.816363,0.036024,0.000213,0.052350105347566546
1986-12-16,5.7e-05,0.0,0.082272,0.883504,0.033808,0.000284,0.0619563669942507
1986-12-17,0.001818,0.001105,0.430458,0.556377,0.009965,0.0,-8.350936257206162e-06
1986-12-18,0.003079,0.002532,0.551744,0.438206,0.004378,0.0,-0.021491521033326733
1986-12-19,0.002971,0.002238,0.618918,0.374356,0.001494,0.0,-0.03257470708205212
1986-12-22,0.003096,0.002111,0.534875,0.458153,0.001737,0.0,-0.019399306455924855
1986-12-23,0.002673,0.001704,0.522816,0.469183,0.003571,0.0,-0.016696826965317494
1986-12-24,0.001159,0.000454,0.298414,0.694408,0.005466,0.0,0.02000761918690837
1986-12-26,0.001653,0.000933,0.336262,0.654594,0.006427,0.0,0.013937946063503192
1986-12-29,0.002346,0.001855,0.60722,0.387311,0.00125,0.0,-0.03037672200942073
1986-12-30,0.00234,0.001549,0.476757,0.513095,0.006156,0.0,-0.008621708533256911
1986-12-31,0.001663,0.000894,0.529302,0.465338,0.002773,0.0,-0.01714769549279921
