,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.8760598466299572,0.12934749606887233,0.053864489947212164
1,y_Tp2_PriceChg,0.8667691650771654,0.13613504409158947,0.0566548433533563
2,y_Tp3_PriceChg,0.8917707908787615,0.1278179968888788,0.0544159927589341
3,y_Tp4_PriceChg,0.8833022412832335,0.1281311877651567,0.053534580064326036
4,y_Tp5_PriceChg,0.8813497628395089,0.1391141325633584,0.05770667936692615
5,y_Tp6_PriceChg,0.8781609242857253,0.13278514535278807,0.05691673121069543
6,y_Tp7_PriceChg,0.8899991654804821,0.1327001747840168,0.056831082890409904
7,y_Tp8_PriceChg,0.8791347519497421,0.1324864342331864,0.057196631041124005
8,y_Tp9_PriceChg,0.8634823034471867,0.13883978306744185,0.05847228232065627
9,y_Tp10_PriceChg,0.8768302240663008,0.13704938089300878,0.05885713657720224
10,y_Tp11_PriceChg,0.8672728164969074,0.13919182568210722,0.06018353941123475
11,y_Tp12_PriceChg,0.8683394320081934,0.14641891761220588,0.06296713217105544
12,y_Tp13_PriceChg,0.8510503201680368,0.14638241233430516,0.06257491379088476
