Model,Top Feature,Feedback Score
t+1, t-3 Price,0.0029848785539248
t+2, t-2 ROC,0.0808317269804186
t+3, t-4 Price,0.0114453341045638
t+4, t-1 ROC,0.0110368611367745
t+5, t-1 ROC,0.0247901403476666
t+6, t-5 Price,0.0209184652298247
t+7, t-5 ROC,0.0493772678554538
t+8, t-12 Price,0.0280035323442816
t+9, t-4 Vol,0.0284759652195667
t+10, t-1 Price,0.0325951380952822
t+11, t-9 Vol,0.0274579442878458
t+12, t-12 Vol,0.0171399639048942
t+13, t-12 Vol,0.0165835758851578
