date,daily_return
2019-01-02,1.0
2019-01-03,0.9826417161979297
2019-01-04,1.022252230587337
2019-01-07,1.0433853473925159
2019-01-08,1.04906426590822
2019-01-09,1.0555396066727423
2019-01-10,1.0716392616877886
2019-01-11,1.0730961876959224
2019-01-14,1.0681465072203447
2019-01-15,1.0792038213426405
2019-01-16,1.0903796645438844
2019-01-17,1.094389798989064
2019-01-18,1.1080736958845623
2019-01-22,1.0868287695392644
2019-01-23,1.0829371961896388
2019-01-24,1.078735807430954
2019-01-25,1.0977634927505688
2019-01-28,1.0840311922851114
2019-01-29,1.0767639270327014
2019-01-30,1.0943102667238322
2019-01-31,1.1252773120010455
2019-02-01,1.1294430523772863
2019-02-04,1.1379736159932055
2019-02-05,1.1499133346977657
2019-02-06,1.1408925437211608
2019-02-07,1.12213016802497
2019-02-08,1.121644776593134
2019-02-11,1.1252280545584579
2019-02-12,1.1395055953179742
2019-02-13,1.1494341766189973
2019-02-14,1.1433652370808656
2019-02-15,1.1576930537988117
2019-02-19,1.1590942707223808
2019-02-20,1.162736746819643
2019-02-21,1.151643998695962
2019-02-22,1.1715536416243217
2019-02-25,1.1842529243028503
2019-02-26,1.196335234753015
2019-02-27,1.2062472713288683
2019-02-28,1.1896338766478158
2019-03-01,1.1994438974437063
2019-03-04,1.1922084630513687
2019-03-05,1.1774162611042718
2019-03-06,1.1502364313943247
2019-03-07,1.1531207908103378
2019-03-08,1.1525369109814543
2019-03-11,1.1751097876892773
2019-03-12,1.1776496220161037
2019-03-13,1.1930284055511133
2019-03-14,1.2047939491670345
2019-03-15,1.1952721391840484
2019-03-18,1.2051989666227219
2019-03-19,1.1988531768700987
2019-03-20,1.1938884878248117
2019-03-21,1.2063615810245258
2019-03-22,1.1802681912815571
2019-03-25,1.1801437069590162
2019-03-26,1.2007852999071396
2019-03-27,1.1867481630046683
2019-03-28,1.1891549595143363
2019-03-29,1.1981990194340504
2019-04-01,1.2188061507882313
2019-04-02,1.2240400990243758
2019-04-03,1.224696387862593
2019-04-04,1.2169320406315156
2019-04-05,1.221615066909051
2019-04-08,1.2127108737588095
2019-04-09,1.1994494271751452
2019-04-10,1.2023382990013156
2019-04-11,1.1990632586651415
2019-04-12,1.2000169199080633
2019-04-15,1.1968961017318092
2019-04-16,1.2001835818931479
2019-04-17,1.1885557141638932
2019-04-18,1.193503409293852
2019-04-22,1.2006217292868249
2019-04-23,1.2181175883812188
2019-04-24,1.2074171801006985
2019-04-25,1.2075859643163824
2019-04-26,1.2094744123022225
2019-04-29,1.2133038594149237
2019-04-30,1.2232860342402305
