,date,open,high,low,close,volume,tic,day,macd_1,sma26_1,sma_52
0,2013-01-02,37.91999816894531,38.72999954223633,37.91999816894531,38.34000015258789,6483800,ADBE,0,-0.1132586978202851,37.354026527760645,35.61220573883243
1,2013-01-02,104.49680680481639,104.64255888044062,102.99081518172055,103.67094421386719,7675284,GE,0,0.2735921457297792,102.62350483336698,101.7813695267158
2,2013-01-02,54.41183782360983,56.05876159667969,54.41183782360983,56.05876159667969,3526500,INTU,0,-0.0005800925553032,55.133262764389706,54.45270464140177
3,2013-01-02,15.483092902216555,15.490773183664611,14.983886327004134,15.068367958068848,29812900,MS,0,-0.0738150631090039,14.389092368500412,13.62515711608685
4,2013-01-02,42.869998931884766,43.689998626708984,42.720001220703125,43.650001525878906,1790600,VRTX,0,-0.1156410083507069,42.27949704708955,41.89378704083651
5,2013-01-02,55.07144043441775,55.65483781312104,54.72641867809298,55.648563385009766,16143700,XOM,0,-0.0632984334463415,54.982587280129486,55.05101984163569
6,2013-01-03,38.13999938964844,38.29999923706055,37.65999984741211,37.75,3906000,ADBE,1,0.0419931306399092,37.67150442535534,35.792867752815326
7,2013-01-03,104.35105628791361,104.39964442294884,102.26209361188137,102.50499725341797,8078220,GE,1,1.1237431955073165,103.3364985214045,102.14064391050132
8,2013-01-03,55.778243857821785,56.11305714228246,55.66060545173954,55.868736267089844,2559000,INTU,1,0.2337418353934026,55.47863516753424,54.59545940775581
9,2013-01-03,14.945482488769555,15.060685226887909,14.837961495713667,15.037644386291504,29859500,MS,1,0.0229983820915986,14.612865377254437,13.731283555972
10,2013-01-03,43.70000076293945,45.29999923706055,43.310001373291016,45.150001525878906,1841500,VRTX,1,0.8135122266321986,43.38830676082797,42.37126882078264
11,2013-01-03,55.491749849110725,55.76149289248415,55.30356003330749,55.54821014404297,13268200,XOM,1,0.4439259414948537,55.48484385362617,55.27247191108479
12,2013-01-04,37.880001068115234,38.189998626708984,37.619998931884766,38.130001068115234,3809300,ADBE,2,0.009497584973225,37.6814271110229,35.87648294473734
13,2013-01-04,103.03941907528919,103.2823227936201,102.6021936167486,102.99083709716797,4963027,GE,2,1.1493118971757497,103.23362432326846,102.13457075115872
14,2013-01-04,56.10400929456918,56.43882257704407,55.868735935732545,56.3030891418457,1898200,INTU,2,0.3139370063733935,55.7173044301258,54.70870336135009
15,2013-01-04,15.114444742957224,15.552210431845824,15.037643410814901,15.50613021850586,31983900,MS,2,-0.0247473495626628,14.688120753218309,13.789883899323623
16,2013-01-04,45.349998474121094,46.5099983215332,45.20000076293945,45.849998474121094,2538100,VRTX,2,1.2139837910069744,44.05787982558092,42.63413231731739
17,2013-01-04,55.516824140138674,55.88693400379969,55.4352757259386,55.80538558959961,11427900,XOM,2,0.2301134715763169,55.31386730911224,55.18577753425583
18,2013-01-07,37.810001373291016,38.209999084472656,37.70000076293945,37.939998626708984,3632100,ADBE,3,0.3956634404322017,38.10982293684012,36.17606544662112
19,2013-01-07,102.79649657139274,103.08797604230318,101.82488187562703,102.6507568359375,5453308,GE,3,1.0393067331700363,102.93122527830369,102.07965389422246
20,2013-01-07,55.94112271215759,56.556457243117286,55.94112271215759,56.36642837524414,1422500,INTU,3,0.2360199083830707,55.73145773543432,54.73927260703601
21,2013-01-07,15.37556914318095,15.460049294280342,15.106765200005185,15.206605911254883,21445100,MS,3,0.1468896226601135,14.926778291803824,13.938899284633647
22,2013-01-07,45.880001068115234,47.439998626708984,45.75,47.290000915527344,2515300,VRTX,3,1.0113744781584373,44.34407435020066,42.72338344045302
23,2013-01-07,55.397643065813526,55.51055885036271,54.933435856438734,55.15926742553711,11799800,XOM,3,0.3535514579889991,55.39071340416466,55.24591537916879
24,2013-01-08,37.779998779296875,38.20000076293945,37.75,38.13999938964844,3080900,ADBE,4,0.2017450565023963,37.97053968485893,36.19469305433414
25,2013-01-08,102.50499459918338,102.60215852219137,100.46461393874613,101.53338623046875,6668777,GE,4,1.329762221139262,103.02586433242708,102.19085243434569
26,2013-01-08,56.230331459687484,56.38458437559902,55.81293409026319,55.91274642944336,1041600,INTU,4,0.5291689197302816,55.98941027973383,54.90392304769913
27,2013-01-08,15.160532678224321,15.198934096286802,15.045331353765512,15.091411590576172,22206200,MS,4,0.0313375059171665,14.824548952768858,13.924855934842965
28,2013-01-08,47.439998626708984,48.56999969482422,47.06999969482422,48.5,2282200,VRTX,4,1.05362807267543,44.79962362695207,42.91885045401183
29,2013-01-08,55.090269164634634,55.504295349121094,54.75779620278249,55.504295349121094,14226400,XOM,4,0.2324811356845515,55.21645730692064,55.1871375737484
30,2013-01-09,38.15999984741211,38.709999084472656,38.099998474121094,38.65999984741211,4083100,ADBE,5,0.2696987796611907,38.08841666465598,36.35728537864898
31,2013-01-09,102.21353919347004,102.35927893995577,101.67914983589809,101.77631378173828,4752849,GE,5,0.9672784465976888,102.70042363589208,102.03924195170691
32,2013-01-09,56.05791994494022,56.55698157741219,55.98533136473097,56.40272521972656,790000,INTU,5,0.644531528756886,56.1258176361584,55.02050442319582
33,2013-01-09,15.129808744789393,15.31413110495103,14.907084977387475,15.068367958068848,26993800,MS,5,0.1126036753628945,14.92933843326506,14.011515808141835
34,2013-01-09,48.540000915527344,48.70000076293945,47.52000045776367,48.25,1920300,VRTX,5,1.6234495155428093,45.7280471153161,43.36421605315084
