,y_Tp7_PriceChg_c0,y_Tp7_PriceChg_c1,y_Tp7_PriceChg_c2,y_Tp7_PriceChg_c3,y_Tp7_PriceChg_c4,y_Tp7_PriceChg_c5,pc_pred
11647,2.8e-05,0.128708,0.762694,0.108515,4e-05,1.5e-05,0.0023573063747895596
11648,1.3e-05,0.097133,0.712008,0.19081,2.6e-05,1.1e-05,0.008594029821390983
11649,2.3e-05,0.127203,0.750235,0.122503,2.6e-05,1e-05,0.003201085365465165
11650,0.0,0.062228,0.867453,0.070319,0.0,0.0,0.003962928651491105
11651,0.001118,0.225631,0.656402,0.11639,0.000303,0.000155,-0.002702333569881804
11652,0.001177,0.258198,0.698151,0.042193,0.000183,9.8e-05,-0.008588220216280308
11653,0.048637,0.681605,0.260655,0.007832,0.000713,0.000558,-0.04113368346174028
11654,0.015669,0.425833,0.440298,0.112537,0.004214,0.00145,-0.015529249539336178
11655,0.040695,0.713552,0.238495,0.006465,0.000465,0.000327,-0.041831336266437216
11656,0.000635,0.21371,0.665214,0.120054,0.000289,9.8e-05,-0.001778937063242128
11657,0.001377,0.267896,0.623546,0.106206,0.000678,0.000297,-0.005568930875297942
11658,0.001843,0.630441,0.352026,0.015507,0.000137,4.5e-05,-0.030825043534082976
11659,0.005213,0.213363,0.555412,0.219753,0.004614,0.001644,0.0038083873704831865
11660,0.001605,0.083492,0.357582,0.556781,0.000423,0.000117,0.029117365626236923
11661,0.01399,0.601996,0.371107,0.012704,0.000134,6.8e-05,-0.031269049266680546
11662,0.000337,0.127131,0.635316,0.232648,0.002758,0.001811,0.009845826824296014
11663,0.005258,0.655411,0.299967,0.038057,0.000798,0.000509,-0.03133771868299694
11664,0.018325,0.680964,0.257501,0.027108,0.01179,0.004313,-0.03325275897039401
11665,0.000781,0.123252,0.627339,0.247447,0.00082,0.00036,0.010278544351315163
11666,9e-06,0.172593,0.760461,0.066933,3e-06,2e-06,-0.002348825436025345
11667,2e-05,0.118448,0.705197,0.176271,4.5e-05,1.8e-05,0.006621224094814381
11668,0.000454,0.175307,0.654605,0.168676,0.00068,0.000278,0.0031138961954580565
11669,1.4e-05,0.071172,0.755969,0.172801,2.8e-05,1.5e-05,0.009054751887897906
11670,0.000488,0.226501,0.719402,0.053565,2.9e-05,1.5e-05,-0.006137944799411284
11671,0.005626,0.130686,0.46215,0.398209,0.002148,0.001181,0.017657016653102122
11672,0.039091,0.899015,0.061603,0.000211,3e-05,5e-05,-0.05232773986295452
11673,0.057102,0.851377,0.091332,9.4e-05,3.9e-05,5.6e-05,-0.05246644074526834
11674,0.002997,0.993752,0.003252,0.0,0.0,0.0,-0.052042252911830574
11675,0.337182,0.644369,0.016297,0.000921,0.000579,0.000652,-0.0839650977594105
11676,0.427034,0.547617,0.025162,8e-06,5.7e-05,0.000122,-0.09267457770835011
11677,0.007848,0.963399,0.028752,0.0,0.0,0.0,-0.051105802441686075
11678,0.00163,0.946518,0.051793,5.8e-05,0.0,0.0,-0.04920609671593018
11679,0.000266,0.269543,0.639405,0.090743,3e-05,1.3e-05,-0.00646753112381399
11680,0.010785,0.791854,0.195461,0.00186,2.2e-05,1.7e-05,-0.04192874517176714
11681,0.005249,0.859925,0.13351,0.001185,9e-05,4.1e-05,-0.04487692089442419
11682,7.2e-05,0.164889,0.760245,0.07466,9.4e-05,4.1e-05,-0.0014909074172703828
11683,5.4e-05,0.058826,0.695203,0.24589,1.9e-05,7e-06,0.01371379550030966
11684,0.000135,0.104887,0.736581,0.158086,0.000241,7e-05,0.0064001597680440996
11685,0.000142,0.281313,0.650441,0.068048,3e-05,2.6e-05,-0.008335942293705477
11686,0.000706,0.243974,0.632593,0.122586,8.5e-05,5.5e-05,-0.003366024220714294
11687,0.0,0.061816,0.812605,0.125578,0.0,1e-06,0.006996971975147709
11688,0.03055,0.783123,0.184238,0.001792,0.00017,0.000127,-0.04445792088001816
11689,0.000258,0.171039,0.655572,0.173067,3.7e-05,2.8e-05,0.0034913428078186897
11690,0.02705,0.529912,0.389502,0.049696,0.002461,0.001379,-0.026723497747535855
11691,0.000107,0.407208,0.562642,0.030033,8e-06,2e-06,-0.017397992429457224
11692,0.011588,0.722649,0.256756,0.00811,0.000613,0.000284,-0.037744770349169274
11693,0.007352,0.387483,0.524178,0.079777,0.000864,0.000347,-0.014536418529723634
11694,0.026,0.364933,0.580291,0.025775,0.002043,0.000958,-0.018839177724474444
11695,0.030284,0.632244,0.31806,0.017147,0.001389,0.000876,-0.03490807389918093
11696,0.000906,0.252747,0.688092,0.058089,0.000119,4.8e-05,-0.007395234054789861
11697,3.9e-05,0.492295,0.505931,0.001734,1e-06,1e-06,-0.023653933874550854
11698,0.016812,0.62334,0.344503,0.014976,0.000228,0.00014,-0.032739993383912466
11699,0.002807,0.930856,0.066291,3.4e-05,7e-06,5e-06,-0.04851774224425913
11700,0.063529,0.86539,0.071077,1e-06,1e-06,2e-06,-0.054256122569240305
11701,0.017702,0.747335,0.229257,0.005618,5e-05,3.7e-05,-0.04031257726721696
11702,0.117723,0.720014,0.153678,0.005647,0.001413,0.001525,-0.05377328791987785
11703,0.040418,0.953503,0.006078,0.0,0.0,1e-06,-0.05558182342609893
11704,0.326689,0.665579,0.007711,0.0,4e-06,1.7e-05,-0.08376666459566089
11705,0.145683,0.835709,0.008908,0.001149,0.005335,0.003215,-0.06393719677850991
11706,0.995379,0.002542,0.001896,0.0,0.000155,2.8e-05,-0.1501177278104563
11707,0.743766,0.222313,0.026463,8.3e-05,0.003287,0.004088,-0.12232424436970633
11708,0.013452,0.871835,0.113803,0.000893,9e-06,8e-06,-0.0468362441686858
11709,0.015527,0.923236,0.061121,9.9e-05,6e-06,1.1e-05,-0.05005289117539197
11710,0.142193,0.695617,0.161338,0.000137,0.000364,0.000351,-0.05685001752201286
11711,0.005139,0.804199,0.188603,0.001978,5.5e-05,2.7e-05,-0.041730343896263795
11712,0.514833,0.318163,0.131611,0.007122,0.01364,0.014632,-0.0886293398744658
11713,0.0476,0.859664,0.092632,4.7e-05,2.4e-05,3.4e-05,-0.051468929192472625
11714,0.039534,0.770243,0.179104,0.010796,0.000136,0.000186,-0.04463172728191618
11715,1e-05,0.247935,0.711501,0.040553,0.0,0.0,-0.007969572242272658
11716,0.066567,0.906793,0.026604,1.7e-05,7e-06,1.4e-05,-0.05701936050935313
11717,0.014644,0.927477,0.057873,3e-06,1e-06,2e-06,-0.050159638453429765
11718,0.037345,0.885819,0.076535,0.000216,3.7e-05,4.8e-05,-0.05132500419394471
11719,1.5e-05,0.107378,0.728787,0.163807,9e-06,4e-06,0.006550154212346963
11720,4.3e-05,0.167437,0.756167,0.076344,6e-06,3e-06,-0.0015544908976791233
11721,0.034852,0.825602,0.139141,0.000316,3.8e-05,5.1e-05,-0.047591398415130645
11722,0.000167,0.147999,0.664977,0.18668,0.000112,6.5e-05,0.005542665300798123
11723,4.1e-05,0.12831,0.719573,0.152015,4.2e-05,1.9e-05,0.004748656497199243
11724,0.005537,0.901122,0.093329,1.3e-05,0.0,0.0,-0.047291350734481805
11725,0.000567,0.247902,0.635773,0.11504,0.000509,0.000209,-0.0038907909981984855
11726,0.022335,0.86925,0.098405,0.009113,0.000585,0.000312,-0.04748483716821587
11727,2.5e-05,0.109436,0.722012,0.168435,6.2e-05,3e-05,0.006698189969952618
11728,0.011765,0.594972,0.372561,0.017375,0.002276,0.001052,-0.029823053074913414
11729,0.00569,0.527106,0.453148,0.013664,0.000245,0.000147,-0.025749681977395057
11730,0.000351,0.24951,0.677382,0.072602,8.3e-05,7.2e-05,-0.00633916125092108
11731,0.001065,0.008901,0.273188,0.667084,0.028598,0.021163,0.04690918839544363
11732,0.000238,0.167354,0.649528,0.182534,0.000221,0.000126,0.004256742430834505
11733,4e-06,0.128075,0.710284,0.161625,9e-06,3e-06,0.005283827773114393
11734,5e-05,0.071305,0.731985,0.196616,3.1e-05,1.2e-05,0.010339274037202698
11735,0.001622,0.283703,0.613483,0.100504,0.000467,0.00022,-0.0068362924177813615
11736,1.4e-05,0.178041,0.796342,0.025597,4e-06,2e-06,-0.004904244228134279
11737,2e-06,0.176475,0.795472,0.028049,1e-06,0.0,-0.004682616996161395
11738,1.2e-05,0.138539,0.763465,0.097975,6e-06,3e-06,0.0012331328219682717
11739,0.000148,0.062282,0.657487,0.27997,8e-05,3.2e-05,0.01537688934802697
11740,0.000157,0.23123,0.708632,0.059965,1.3e-05,3e-06,-0.006004963784829932
11741,0.075745,0.800792,0.122519,0.000647,0.000144,0.000153,-0.05247316376642832
11742,8e-06,0.096537,0.805458,0.097986,8e-06,3e-06,0.0035662370666537354
11743,0.001119,0.22477,0.671828,0.101448,0.00059,0.000246,-0.0034151675530496575
11744,3e-06,0.108879,0.794677,0.096441,0.0,0.0,0.0027961053129106233
11745,0.288693,0.700525,0.010778,0.0,1e-06,3e-06,-0.07984682885499185
11746,0.001646,0.278669,0.607374,0.111885,0.000304,0.000123,-0.0059794519820867585
11747,2e-06,0.134634,0.792944,0.072419,1e-06,0.0,5.773982419124213e-05
11748,8e-06,0.094927,0.716148,0.188899,1.2e-05,6e-06,0.00861040581910998
11749,0.00022,0.063861,0.719691,0.212184,0.002983,0.001062,0.012148278212414942
11750,0.000313,0.073999,0.597207,0.326049,0.001659,0.000772,0.017552325508775574
11751,7e-06,0.088748,0.758729,0.152466,3e-05,2e-05,0.006973322662890775
11752,0.000982,0.001015,0.070069,0.873226,0.029429,0.02528,0.059475266383873696
11753,0.108962,0.860071,0.019889,0.001504,0.007735,0.001838,-0.05955896734898727
11754,0.917538,0.024824,0.007403,0.003455,0.039438,0.007342,-0.13277828574892936
11755,0.007599,0.932198,0.060027,0.000168,5e-06,5e-06,-0.04932459323840295
11756,0.000377,0.265832,0.702706,0.030692,0.000235,0.000158,-0.009497291330651768
11757,0.094465,0.016964,0.011527,0.157562,0.54003,0.179451,0.09922171015666653
11758,0.030534,0.879493,0.088501,0.000896,0.000365,0.000211,-0.04981334477269665
11759,0.0006,0.175936,0.592673,0.230501,0.000184,0.000106,0.006329644773376936
11760,0.052091,0.883659,0.064181,2.2e-05,1.3e-05,3.5e-05,-0.05349648561612057
11761,0.053026,0.892381,0.048427,0.000716,0.004106,0.001343,-0.05331957896147295
11762,0.964636,0.02528,0.002646,0.002077,0.003455,0.001907,-0.1457486184829614
11763,0.60975,0.388984,0.001241,0.0,6e-06,2e-05,-0.11208780741896897
11764,0.997022,0.001682,0.000355,1e-06,0.000596,0.000343,-0.15020788225114567
11765,0.999889,7.8e-05,1.3e-05,0.0,9e-06,1.1e-05,-0.15069861876638627
11766,0.014478,0.234151,0.478697,0.270409,0.001541,0.000725,0.0034206136763125874
11767,0.00582,0.961027,0.033153,0.0,0.0,0.0,-0.05066120212131712
