,y_Tp8_PriceChg_c0,y_Tp8_PriceChg_c1,y_Tp8_PriceChg_c2,y_Tp8_PriceChg_c3,y_Tp8_PriceChg_c4,y_Tp8_PriceChg_c5,y_Tp8_PriceChg_c6,pc_pred
10246,0.0,2e-06,0.044744,0.930693,0.024558,1e-06,1e-06,0.01642044799857797
10247,8.3e-05,0.000758,0.039857,0.761742,0.197304,0.000146,0.00011,0.02584838772854337
10248,1.6e-05,0.000182,0.01314,0.42231,0.563853,0.000327,0.000171,0.04696969201193566
10249,0.001339,0.006925,0.111596,0.561628,0.316242,0.001165,0.001105,0.027750706431888553
10250,1e-05,1.3e-05,0.000706,0.074641,0.912448,0.004076,0.008105,0.06818574679038623
10251,0.0,1e-06,0.001995,0.1548,0.84188,0.000327,0.000997,0.06259357352934072
10252,0.000432,0.002505,0.387947,0.36802,0.236367,0.004071,0.000658,0.009523013547153696
10253,0.0,1e-06,2.8e-05,0.030217,0.969359,0.000166,0.000229,0.06934656036846566
10254,5e-06,1.1e-05,0.083513,0.91213,0.004257,7e-05,1.4e-05,0.01325970579052934
10255,4e-05,9.2e-05,0.07745,0.81859,0.100709,0.002144,0.000976,0.019144406770560292
10256,0.0,0.0,0.0,0.002015,0.997693,2.3e-05,0.000269,0.07085199695419131
10257,6.6e-05,0.000471,0.244385,0.741692,0.013331,4.1e-05,1.4e-05,0.0050268214616328
10258,0.000174,0.000262,0.002037,0.094322,0.867929,0.01257,0.022706,0.06938419757860124
10259,0.0,5e-06,0.0389,0.816636,0.144384,4.8e-05,2.8e-05,0.023144584996689005
10260,3e-06,9e-06,7.8e-05,0.02858,0.966839,0.002146,0.002345,0.06983261156033463
10261,0.000318,0.000881,0.000477,0.047304,0.883083,0.042263,0.025674,0.07422824020994022
10262,8.1e-05,5.6e-05,0.001784,0.189286,0.79364,0.002981,0.012172,0.06239009438098696
10263,8.7e-05,0.000172,0.000863,0.065,0.879298,0.031596,0.022983,0.07236910360753288
10264,0.000304,0.00138,0.12041,0.736594,0.135006,0.004408,0.001897,0.018915064410591015
10265,0.001301,0.003392,0.265565,0.699496,0.028809,0.001041,0.000395,0.004372878345939331
10266,0.008534,0.027848,0.85819,0.101988,0.003337,5.5e-05,4.8e-05,-0.0329646707040138
10267,0.046809,0.144687,0.649499,0.14899,0.009785,9.9e-05,0.000131,-0.04072482735064006
10268,0.010486,0.153324,0.832415,0.003759,1.3e-05,1e-06,2e-06,-0.04609875250556248
10269,0.000848,0.003841,0.792151,0.199355,0.003793,6e-06,6e-06,-0.025455461469203206
10270,0.001326,0.002277,0.297276,0.680654,0.018356,7.1e-05,3.9e-05,0.002049291833581623
10271,0.023717,0.058786,0.757999,0.157742,0.001558,6.5e-05,0.000134,-0.033609234238705626
10272,0.002799,0.010738,0.96201,0.024048,0.000399,2e-06,4e-06,-0.035865029433852856
10273,0.002986,0.004832,0.937349,0.05433,0.000498,3e-06,4e-06,-0.033904723952797935
10274,1.6e-05,8.8e-05,0.060548,0.933164,0.006152,1e-05,2.3e-05,0.014580327067719398
10275,0.001678,0.003229,0.96076,0.034289,4.3e-05,0.0,1e-06,-0.03479466802212141
10276,1.8e-05,0.000363,0.110876,0.779292,0.109398,3.1e-05,2.2e-05,0.017358707127105383
10277,0.000108,0.000857,0.007179,0.332754,0.645653,0.009646,0.003802,0.05333732348595843
10278,0.002747,0.017928,0.035907,0.521796,0.410517,0.007794,0.003312,0.036585110872720226
10279,6.5e-05,0.000105,0.022097,0.31087,0.661159,0.004067,0.001637,0.05239681500496788
