Date,Close,High,Low,Open,Volume
2000-01-03,9.923152923583984,9.99585071297186,9.814107764747948,9.959501818277923,822800
2000-01-04,9.559673309326172,9.923158653020389,9.450627324906241,9.923158653020389,2645500
2000-01-05,8.94174575805664,9.377928068749421,8.94174575805664,9.377928068749421,4281200
2000-01-06,8.760000228881836,9.159834280047043,8.505560239481627,9.087137249164545,2774200
2000-01-07,9.087138175964355,9.087138175964355,8.650955183560006,8.760001122316845,4013900
2000-01-10,8.905394554138184,9.341577514961815,8.905394554138184,9.196183448894923,1690700
2000-01-11,8.68730354309082,9.0871376101389,8.578257611123904,9.050788711942273,3528800
2000-01-12,9.014439582824707,9.123484740150039,8.5055596398969,8.687302585602955,4830100
2000-01-13,8.68730354309082,9.014440576368608,8.578257611123904,9.014440576368608,6508700
2000-01-14,8.68730354309082,8.723651678664485,8.54190947555024,8.723651678664485,3202100
2000-01-17,8.3601655960083,8.759999619352675,8.323816701784777,8.759999619352675,4435200
2000-01-18,8.214775085449219,8.396518109663857,8.178426175557009,8.360169199771647,4544100
2000-01-19,7.996684551239014,8.14207867714822,7.996684551239014,8.105729764359285,4521000
2000-01-20,8.251118659973145,8.28746754972091,7.996679482229925,7.996679482229925,5710100
2000-01-21,7.960333347320557,8.214773375740808,7.887636305289492,8.214773375740808,7753900
2000-01-24,7.778589248657227,7.996681106188132,7.705892217021239,7.9603322090586675,4823500
2000-01-25,7.887631893157959,7.960328894524254,7.560495005698319,7.633192007064614,4013900
2000-01-26,8.142075538635254,8.178423674789864,7.923983671215704,7.99668146877087,2949100
2000-01-27,8.614607810974121,8.614607810974121,8.14207663875704,8.14207663875704,3922600
2000-01-28,8.287468910217285,8.832697007580594,8.287468910217285,8.614605921159852,4488000
2000-01-31,8.287468910217285,8.323817043309287,8.033028928081631,8.251120014502373,3010700
2000-02-01,8.32381820678711,8.432864146551042,8.178424128850542,8.36016710758276,1546600
2000-02-02,8.614607810974121,8.68730485572882,8.178424779822851,8.32381886933225,2399100
2000-02-03,8.650952339172363,8.723649353566858,8.541907198892002,8.650952339172363,3271400
2000-02-04,8.541911125183105,8.578259267776405,8.4692140773734,8.578259267776405,3300000
2000-02-07,8.541911125183105,8.541911125183105,8.541911125183105,8.541911125183105,0
