Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3,Feature 4,Feedback 4,Feature 5,Feedback 5,Feature 6,Feedback 6,Feature 7,Feedback 7,Feature 8,Feedback 8,Feature 9,Feedback 9,Feature 10,Feedback 10,Feature 11,Feedback 11,Feature 12,Feedback 12,Feature 13,Feedback 13
t+1, t-2 Price,0.0461271739995578, t-10 Vol,0.0075466177898877, t-12 Vol,0.0026081696613504, t-9 Vol,0.0021965480288952, t-7 Price,0.0019696768256058, t-4 Vol,0.0018869611159692, t-6 Price,0.0016236195353812, t-8 Price,0.0012650527263863, t-11 Vol,0.0010130941013841, t-9 ROC,0.0009234886128468, t-13 Price,0.0008548124320555, t-4 ROC,0.0006286335605048, t-8 Vol,0.000420591895531
t+2, t-2 Price,0.0498554406300203, t-4 Price,0.0307210718958517, t-3 Price,0.0219984854221087, t-1 Price,0.0175958034929047, t-6 ROC,0.0080190647912553, t-3 Vol,0.0071473085882142, t-12 Price,0.0047896039980266, t-11 Vol,0.0047599250273726, t-2 Vol,0.0029037329952179, t-8 ROC,0.0026543463508816, t-12 Vol,0.0023697537511905, t-7 Vol,0.0018712225813113, t-10 Price,0.0017045615514435
t+3, t-11 ROC,0.0092994238449986, t-3 ROC,0.0065497616131599, t-6 Vol,0.0035411890192503, t-4 Vol,0.0021169423946177, t-1 Price,0.0018638099268179, t-13 Vol,0.001736884979798, t-8 Vol,0.0017175018709506, t-12 ROC,0.0013803583354385, t-7 Price,0.0013776508572233, t-5 Price,0.000665873833767, t-8 ROC,0.0003320017277387, t-6 ROC,0.0001438930319932, t-2 Vol,0.0001264360604021
t+4, t-1 ROC,0.0511572936390434, t-1 Price,0.0339586913547876, t-5 ROC,0.0253184428271222, t-2 Price,0.01028375056974, t-13 Price,0.0080414848120057, t-8 Vol,0.0065128366181439, t-5 Price,0.0057069366954258, t-2 Vol,0.0030961535577599, t-11 Price,0.0024109198816975, t-4 Vol,0.002055080190217, t-12 Price,0.0020120829168764, t-11 Vol,0.0018519749555027, t-10 Price,0.0012421874126418
t+5, t-6 Price,0.0072876543806772, t-5 Vol,0.0043568398741203, t-7 Vol,0.0029748227132936, t-11 Vol,0.0029575790107023, t-4 Price,0.0023023629260167, t-8 ROC,0.0022271294410814, t-2 Price,0.0013778520109898, t-1 Vol,0.0007772064109505, t-7 Price,0.000675903253574, t-3 Price,0.0006409910190031, t-11 Price,0.0005958603035365, t-9 ROC,0.0005825984181385, t-8 Vol,0.000384957614509
t+6, t-2 ROC,0.0213906010391065, t-1 Vol,0.0171522235464018, t-10 Price,0.0159065368551562, t-8 Vol,0.0050100832177819, t-10 Vol,0.004358217171099, t-12 Vol,0.004002067323225, t-4 ROC,0.0038517789714732, t-4 Vol,0.0025457745587213, t-8 ROC,0.0022958771436911, t-6 ROC,0.0022370372324029, t-1 Price,0.0018799488662906, t-7 Price,0.0014936144343932, t-7 Vol,0.0014309904141201
t+7, t-1 Price,0.0538219956227442, t-5 Price,0.0095592596258168, t-1 Vol,0.0043218020801146, t-8 Vol,0.0039449829302683, t-11 Price,0.0034040463929579, t-13 Vol,0.0032038891541839, t-2 Vol,0.0030603827455177, t-13 ROC,0.0008581379121419, t-4 ROC,0.0008344968192638, t-4 Vol,0.0007884607043949, t-7 Price,0.0007403263835611, t-8 ROC,0.0007330792528541, t-5 ROC,0.000559500247705
t+8, t-7 Price,0.0098302289813089, t-5 Vol,0.0095929694420928, t-1 Vol,0.0091015859084057, t-11 Price,0.0061104193678126, t-2 Price,0.0058720222987396, t-9 Vol,0.0046186988502397, t-4 Vol,0.0021084986104954, t-7 ROC,0.0010529212783625, t-1 ROC,0.0010401073275574, t-8 ROC,0.0006509106032485, t-6 Price,0.000282161528417, t-13 Price,0.0002361497781343, t-13 ROC,7.143168411517949e-05
t+9, t-5 Price,0.0221268937725854, t-10 Price,0.0183249732918188, t-13 Vol,0.0146318977051484, t-1 Price,0.0135290138490944, t-1 Vol,0.0117793465416052, t-1 ROC,0.0061508629175846, t-12 ROC,0.0038227642927177, t-10 Vol,0.0036018936042273, t-13 ROC,0.0034217973640065, t-10 ROC,0.0011787949478265, t-2 Price,0.0011424483401707, t-4 Price,0.0010458680177945, t-3 Price,0.0007208026917478
t+10, t-8 Price,0.0103710201202435, t-5 Vol,0.0034447360670086, t-1 Vol,0.0030875276678855, t-2 ROC,0.0020500210955471, t-3 Price,0.0019606964924386, t-2 Price,0.0012822810313552, t-7 Price,0.0011117550174532, t-7 ROC,0.0008809478877902, t-9 Price,0.0006864588250767, t-4 Price,0.0006422849236432, t-3 ROC,0.0005949127423738, t-4 Vol,0.0005708150429481, t-12 ROC,0.0005490049861984
t+11, t-12 Vol,0.0275703660842508, t-6 Price,0.0242085079726504, t-2 Vol,0.0155485758550978, t-8 Vol,0.0113948441484595, t-13 ROC,0.0065226438898654, t-1 Price,0.0037203122084683, t-9 Vol,0.003693336824623, t-4 Vol,0.0024742873391745, t-4 ROC,0.0010845027569118, t-6 Vol,0.0006857368742193, t-5 Vol,0.0006443317177619, t-11 Vol,0.0005257946751437, t-9 Price,0.0004783398871923
t+12, t-5 ROC,0.0250279892663018, t-4 Price,0.0196678536852555, t-1 Vol,0.0084755027083418, t-8 Vol,0.0067339312633751, t-1 Price,0.0065822190873926, t-9 Vol,0.0063603519813931, t-8 Price,0.004476659178647, t-2 Price,0.0037009860071468, t-9 ROC,0.0028329975946027, t-3 Vol,0.0023928312517884, t-13 Vol,0.002279024669716, t-11 ROC,0.00220014649331, t-7 Vol,0.0015589547938091
t+13, t-2 Price,0.0276609814065402, t-10 ROC,0.0211072046326194, t-4 Vol,0.0140838858924874, t-12 Price,0.0061608276713515, t-6 Vol,0.005725308156622, t-6 ROC,0.0056862846692811, t-5 Price,0.0038426210799082, t-9 ROC,0.0037001942491072, t-2 ROC,0.0020455243926363, t-13 ROC,0.0017564961296999, t-6 Price,0.0009995950521709, t-1 ROC,0.000913847794237, t-4 ROC,0.0005849972560471
