,columns,r2_price,rmse,mape
0,y_Tp1_PriceChg,0.9658603215619507,0.19588041748972718,0.044678632331691275
1,y_Tp2_PriceChg,0.9687593063250368,0.19067852314336142,0.04263488962059554
2,y_Tp3_PriceChg,0.9668450797295138,0.19771277508071772,0.0443428787239333
3,y_Tp4_PriceChg,0.9648924948261206,0.19881860913496224,0.04482387610997214
4,y_Tp5_PriceChg,0.9676199494541781,0.19863083361771258,0.04463551031354773
5,y_Tp6_PriceChg,0.9636870440019631,0.20006074171097624,0.04560091472523815
6,y_Tp7_PriceChg,0.9632571416935211,0.21032940512053863,0.04779693631568407
7,y_Tp8_PriceChg,0.9585121291534836,0.22003096228334346,0.050106471603483596
8,y_Tp9_PriceChg,0.9578344557363146,0.22029446564097793,0.049495654116718156
9,y_Tp10_PriceChg,0.9633614836762099,0.20891223692160787,0.04699406789823201
10,y_Tp11_PriceChg,0.9597247077147602,0.21910829727261466,0.050028653081581775
11,y_Tp12_PriceChg,0.9598124745224963,0.21777021608508498,0.04940749972920571
12,y_Tp13_PriceChg,0.9614718270684248,0.21887536418322956,0.049227298950691875
